Driver	Constructor	Laps	Time/Retired	Grid
Tony Brooks	Vanwall	70	2:03:47.8	2
Mike Hawthorn	Ferrari	70	+ 24.2	3
Phil Hill	Ferrari	70	+ 28.3	7
Masten Gregory Carroll Shelby	Maserati	69	+ 1 Lap	11
Roy Salvadori	Cooper - Climax	62	+ 8 Laps	14
Graham Hill	Lotus - Climax	62	+ 8 Laps	12
Cliff Allison	Lotus - Climax	61	+ 9 Laps	16
Maria Teresa de Filippis	Maserati	57	Engine	21
Giulio Cabianca	Maserati	51	Engine	20
Jean Behra	BRM	42	Clutch	8
Hans Herrmann	Maserati	32	Engine	18
Stuart Lewis-Evans	Vanwall	30	Overheating	4
Maurice Trintignant	Cooper - Climax	24	Gearbox	13
Stirling Moss	Vanwall	17	Gearbox	1
Jo Bonnier	BRM	14	Transmission	10
Olivier Gendebien	Ferrari	4	Suspension	5
Gerino Gerini	Maserati	2	Accident	19
Carroll Shelby	Maserati	1	Handling	17
Wolfgang von Trips	Ferrari	0	Accident	6
Harry Schell	BRM	0	Accident	9
Jack Brabham	Cooper - Climax	0	Suspension	15
