Country	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
Canada	Kevin Martin	10	1	87	47	49	37	10	14	87
Scotland	David Murdoch	8	3	74	54	46	38	20	10	85
China	Wang Fengchun	7	4	66	65	43	43	18	9	81
Norway	Thomas Ulsrud	7	4	80	72	52	47	10	11	84
France	Thomas Dufour	6	5	63	53	42	35	18	11	78
Australia	Hugh Millikin	5	6	62	64	42	45	20	8	78
United States	Craig Brown	5	6	65	67	40	44	13	6	81
Germany	Andy Kapp	5	6	73	72	47	43	17	14	80
Denmark	Johnny Frederiksen	4	7	64	80	45	50	6	11	78
Sweden	Anders Kraupp	4	7	61	77	38	49	17	4	79
Switzerland	Claudio Pescia	3	8	63	78	42	49	15	7	78
