Usage	Sn/Sb (%)	Liquid at (°C)	Casting at (°C)	Remelting at (°C)	Hardness
Typograph	3/12	250	280…290	310…330	19
Ludlow	5/12	245	270…285	300…320	21
Lino/Intertype a	5/12	245	270…285	300…320	21
Lino/Intertype b	6/12	243	270…285	300…320	21.5
Lino/Intertype c	7/12	241	270…285	300…320	22
Stereotyping	5/15	265	320	320…340	23
Stereotyping	7/14	258	315	320…340	23
Monotype a	5/15	265	350	330…350	23
Monotype b	8/15	260	360	350…370	25
Monotype c	7/17	280	370	360…380	26
Monotype d	9/19	285	390	380…400	28.5
Monotype e	9.5/15	270	360	350…370	26
Monotype f	9.5/17	280	380	370…390	27.5
Monotype g	10/16	275	370	360…380	27
Regeneration a	9/11	—	—	—	—
Regeneration b	9/12	—	—	—	—
Regeneration c	9/16	—	—	—	—
Support metal a	1/2	310	—	360…380	6
Support metal b	3/5	295	—	340…360	14
Support metal c	5/5	280	—	340…360	16
Typefounding	5.5/28.5	360	—	420…430	29.5
