Year	Drivers	Races	Wins	Poles	F.L.	Points	D.C.	T.C.
2005	José María López	23	1	0	0	36	9th	7th
2005	Fairuz Fauzy	23	0	0	0	0	24th	7th
2006	Ferdinando Monfardini	21	0	0	0	6	21st	12th
2006	Franck Perera	21	0	0	0	8	17th	12th
2007	Kazuki Nakajima	21	0	1	3	44	5th	5th
2007	Nicolas Lapierre	21	2	1	2	23	12th	5th
2008	Jérôme d'Ambrosio	20	0	0	0	21	11th	8th
2008	Kamui Kobayashi	20	1	0	2	10	16th	8th
2009	Jérôme d'Ambrosio	20	0	0	0	29	9th	6th
2009	Kamui Kobayashi	20	0	0	0	13	16th	6th
2010	Jérôme d'Ambrosio	18	1	1	0	21	12th	6th
2010	Ho-Pin Tung †	14	0	0	0	0	28th	6th
2010	Romain Grosjean	8	0	0	0	14	14th	6th
2011	Romain Grosjean	18	5	1	6	89	1st	2nd
2011	Pål Varhaug	18	0	0	0	0	23rd	2nd
2012	Davide Valsecchi	24	4	2	5	247	1st	1st
2012	Felipe Nasr	24	0	0	0	95	10th	1st
