Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Mack, Sam Sam Mack	4, 5, 7	6-7	Guard / Forward	1995-97, 1998-99	Houston
Maddox, Tito Tito Maddox	6	6-3	Guard	2002-03	Fresno State
Malone, Moses Moses Malone	21, 24*	6-10	Center	1976-82	Petersburg High School, Virginia
Maloney, Matt Matt Maloney	12	6-3	Guard	1996-99	Pennsylvania
Marin, Jack Jack Marin	24	6-6	Forward	1972-74	Duke
Martin, Kevin Kevin Martin	12	6-7	Guard	2010-2012	Western Carolina
Massenburg, Tony Tony Massenburg	44	6-9	Forward	1999-2000	Maryland
Maxwell, Cedric Cedric Maxwell	18	6-8	Forward	1986-88	North Carolina-Charlotte
Maxwell, Vernon Vernon Maxwell	11	6-4	Guard	1989-95	Florida
McCormick, Tim Tim McCormick	40	7-0	Forward / Center	1988-90	Michigan
McCracken, Paul Paul McCracken	4	6-4	Guard	1972-74	San Fernando Valley State
McCray, Rodney Rodney McCray	22	6-8	Forward	1983-88	Louisville
McDowell, Hank Hank McDowell	8	6-9	Forward	1984-86	Memphis State
McGlocklin, John John McGlocklin	11	6-5	Guard	1967-68	Indiana
McGrady, Tracy Tracy McGrady	1, 3	6-8	Guard / Forward	2004-10	Mount Zion Christian Academy High School
McKenzie, Stan Stan McKenzie	40	6-5	Forward	1972-74	New York
McLemore, McCoy McCoy McLemore	18	6-7	Forward	1971-72	Drake
McWilliams, Eric Eric McWilliams	22	6-8	Forward	1972-73	Long Beach State
Meely, Cliff Cliff Meely	25	6-8	Forward	1971-76	Colorado
Mensah-Bonsu, Pops Pops Mensah-Bonsu	21	6-9	Forward	2009	George Washington
Meriweather, Joe Joe Meriweather	50	6-10	Forward / Center	1975-76	Southern Illinois
Micheaux, Larry Larry Micheaux	40	6-9	Forward	1984-85	Houston
Miller, Anthony Anthony Miller	2, 9	6-9	Forward	1998-2000	Michigan State
Miller, Brad Brad Miller	52	7-0	Center	2010-11	Purdue
Minniefield, Dirk Dirk Minniefield	10	6-3	Guard	1986-87	Kentucky
Mobley, Cuttino Cuttino Mobley	5	6-4	Guard	1998-2004	Rhode Island
Moffett, Larry Larry Moffett	41	6-9	Forward	1977-78	Nevada-Las Vegas
Mokeski, Paul Paul Mokeski	54	7-0	Center	1979-80	Kansas
Moore, Otto Otto Moore	20	6-11	Center	1972-74	Pan American
Moore, Tracy Tracy Moore	9, 20	6-4	Guard	1995-97	Tulsa
Morris, Terence Terence Morris	44	6-9	Forward	2001-03	Maryland
Murphy, Calvin Calvin Murphy	23*	5-10	Guard	1970-83	Niagara
Murray, Tracy Tracy Murray	31	6-7	Forward	1994-95	California-Los Angeles
Mutombo, Dikembe Dikembe Mutombo	55	7-2	Center	2004-09	Georgetown
