College	2007 Headcount	2007-2008 credit hours	County population 18 yrs+	Penetration in terms of Enrollment per 1000 adults	In-county tuition per credit hour (fall 2009)
Atlantic	6929	143971	282593	25	$93
Bergen	15057	314497	698248	22	$107
Brookdale	14026	301583	487434	29	$115
Burlington	8432	176654	343108	25	$97
Camden	14357	306397	385340	38	$93
Cumberland	3528	72555	117520	30	$94
Essex	10995	264838	577744	19	$104
Gloucester	6169	120939	218629	28	$81
Hudson	7017	152108	467214	15	$96
Mercer	8987	177132	281218	32	$119
Middlesex	12131	2723	607262	20	$97
Morris	6330	176825	371779	22	$105
Ocean	9351	189838	434393	22	$94
Passaic	7261	131992	364857	21	$95
Raritan	6498	124504	242657	27	$96
Salem	1270	29165	50889	26	$93
Sussex	3732	71325	114750	33	$101
Union	11279	229044	383898	30	$94
