Name	Years	Gender	Area	Authority	Decile	Roll
Allandale School	1–6	Coed	Kopeopeo	State	3	419
Apanui School	1–6	Coed	Whakatane	State	5	373
Awakeri School	1–8	Coed	Whakatane	State	6	348
Edgecumbe College	9–13	Coed	Edgecumbe	State	3	249
Edgecumbe School	1–8	Coed	Edgecumbe	State	2	180
Galatea School	1–8	Coed	Galatea	State	7	85
James Street School	1–6	Coed	Whakatane	State	2	254
Matata School	1–8	Coed	Matata	State	5	83
Murupara Area School	1–13	Coed	Murupara	State	1	321
Nukuhou North School	1–8	Coed	Waimana	State	4	66
Ohope Beach Primary School	1–6	Coed	Ohope Beach	State	9	296
Otakiri School	1–8	Coed	Whakatane	State	6	157
Rangitaiki Independent School	1–15	Coed	Whakatane	Private	8	52
St Joseph's Catholic School (Matata)	1–8	Coed	Matata	State integrated	2	12
St Joseph's Catholic School (Whakatane)	1–8	Coed	Whakatane	State integrated	6	252
Taneatua School	1–8	Coed	Taneatua	State	1	234
Tawera Bilingual School	1–8	Coed	Ruatoki	State	3	30
Te Kura Mana Maori o Matahi	1–8	Coed	Waimana	State	1	32
Te Kura Maori-a-Rohe o Waiohau	1–13	Coed	Waiohau	State	1	40
Te Kura o Te Paroa	1–8	Coed	Whakatane	State	2	242
Te Kura o Te Teko	1–8	Coed	Te Teko	State	1	133
Te Kura Toitu o Te Whaiti-nui-a-Toi	1–13	Coed	Te Whaiti	State	1	31
Te Mahoe School	1–8	Coed	Galatea	State	1	44
Te Wharekura o Ruatoki	1–13	Coed	Ruatoki	State	1	155
Thornton School	1–8	Coed	Whakatane	State	5	102
TKK Motuhake o Tawhiuau	1–13	Coed	Murupara	State	1	115
TKKM o Huiarau	1–13	Coed	Ruatahuna	State	1	81
Trident High School	9–13	Coed	Whakatane	State	5	1183
Waimana School	1–8	Coed	Waimana	State	1	44
Whakatane High School	9–13	Coed	Whakatane	State	4	798
Whakatane Intermediate	7–8	Coed	Whakatane	State	4	539
Whakatane Seventh-day Adventist School	1–8	Coed	Kopeopeo	State integrated	5	35
