Week	Date	Opponent	Result	Attendance
1	September 4, 1994	at New Orleans Saints	W 30–17	69,362
2	September 11, 1994	San Francisco 49ers	W 24–17	79,907
3	September 18, 1994	at Atlanta Falcons	W 30–10	67,357
4	September 25, 1994	Los Angeles Rams	L 16–0	78,184
5	Bye	Bye	Bye	Bye
6	October 9, 1994	at San Diego Chargers	L 20–6	62,923
7	October 17, 1994	at Denver Broncos	W 31–28	75,151
8	October 23, 1994	Seattle Seahawks	W 38–23	78,847
9	October 30, 1994	at Buffalo Bills	L 44–10	79,501
10	November 6, 1994	Los Angeles Raiders	W 13–3	78,709
11	November 13, 1994	San Diego Chargers	L 14–13	76,997
12	November 20, 1994	Cleveland Browns	W 20–13	69,121
13	November 27, 1994	at Seattle Seahawks	L 10–9	54,120
14	December 4, 1994	Denver Broncos	L 20–17	77,631
15	December 12, 1994	at Miami Dolphins	L 45–28	71,578
16	December 18, 1994	Houston Oilers	W 31–9	74,474
17	December 24, 1994	at Los Angeles Raiders	W 19–9	64,130
