Nat.	Name	Since	Goals	Ends	Transfer fee
DNK	Christiansen ( VC1 )	2005	0	2012	Undisclosed
CZE	Pospech	2008 (Winter)	5	2011	DKK 14m
DNK	N. Jensen ( VC2 )	2007 (Winter)	10	2009	Free
DNK	Nørregaard	2006	31	2010	Free
DNK	Laursen ( captain )	2008 (Winter)	0	2011	Undisclosed
DNK	Würtz	2007	0	2012	DKK 7m
BRA	Ailton	2007 (Winter)	29	2011	DKK 22m
DNK	Kvist ( VC3 )	2004	10	2012	Youth system
DNK	Nordstrand	2007	32	2012	DKK 15m
DNK GRL	Grønkjær	2006	14	2010	DKK 15m
BRA	Santin	2008	16	2013	DKK 15m
SWE	Larsson	2008	0	2013	DKK 15m
CAN	Hutchinson	2006 (Winter)	26	2010	DKK 8m
SEN	N'Doye	2009 (Winter)	5	2013	DKK 15m
SWE	Antonsson	2007	2	2011	Undisclosed
DNK	Kristensen	2008	1	2012	Undisclosed
SWE	Wendt	2006	2	2010	DKK 6m
BRA	Junior	2008 (Winter)	15	2010	Undisclosed
DNK	Vingaard	2009 (Winter)	3	2012	DKK 8m
SWE	Wiland	2009 (Winter)	0	2014	DKK 8m
CZE	Sionko	2007	12	2011	Free
DNK	Zanka	2007	3	2012	Undisclosed
DNK	Hansen	2006	0	2008	Youth system
DNK	Neestrup	2007	0	2009	Youth system
DNK	Laudrup	2007	0	2009	Youth system
DNK	D. Jensen	2008	0	2011	Youth system
DNK	Albrechtsen	2008	0	2010	Youth system
AUS	Coe	2007 (Winter)	0	2009	Undisclosed
