Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Benetton - Renault	78	1:53:11.258	2
Damon Hill	Williams - Renault	78	+34.817	1
Gerhard Berger	Ferrari	78	+1:11.447	4
Johnny Herbert	Benetton - Renault	77	+1 Lap	7
Mark Blundell	McLaren - Mercedes	77	+1 Lap	10
Heinz-Harald Frentzen	Sauber - Ford	76	+2 Laps	14
Pierluigi Martini	Minardi - Ford	76	+2 Laps	18
Jean-Christophe Boullion	Sauber - Ford	74	Spun off	19
Gianni Morbidelli	Footwork - Hart	74	+4 Laps	13
Pedro Diniz	Forti - Ford	72	+6 Laps	22
Luca Badoer	Minardi - Ford	68	Suspension	16
Olivier Panis	Ligier - Mugen-Honda	65	Spun off	12
Mika Salo	Tyrrell - Yamaha	63	Gearbox	17
Rubens Barrichello	Jordan - Peugeot	60	Throttle	11
Bertrand Gachot	Pacific - Ford	42	Gearbox	21
Jean Alesi	Ferrari	41	Spun off	5
Martin Brundle	Ligier - Mugen-Honda	40	Spun off	8
Taki Inoue	Footwork - Hart	27	Gearbox	26
Ukyo Katayama	Tyrrell - Yamaha	26	Spun off	15
Andrea Montermini	Pacific - Ford	23	Disqualified	25
Eddie Irvine	Jordan - Peugeot	22	Spun off	9
David Coulthard	Williams - Renault	16	Gearbox	3
Roberto Moreno	Forti - Ford	9	Brakes	24
Mika Häkkinen	McLaren - Mercedes	8	Engine	6
Jos Verstappen	Simtek - Ford	0	Gearbox	23
Domenico Schiattarella	Simtek - Ford	0	Damage	20
Source:	Source:	Source:	Source:	Source:
