Week of	Tier	Winner	Runner-up	Semi finalists
2 October	Tier IV	Shi-Ting Wang 6–1, 6–1	Jing-Qian Yi	Tina Križan Annabel Ellwood
2 October	Tier IV	Petra Kamstra Tina Križan 2–6, 6–4, 6–1	Nana Miyagi Stephanie Reece	Tina Križan Annabel Ellwood
2 October	Tier I	Iva Majoli 6–4, 6–4	Mary Pierce	Chanda Rubin Mariaan de Swardt
2 October	Tier I	Nicole Arendt Manon Bollegraf 6–4, 6–7, 6–4	Chanda Rubin Caroline Vis	Chanda Rubin Mariaan de Swardt
9 October	Tier II	Iva Majoli 6–4, 7–6	Gabriela Sabatini	Anke Huber Chanda Rubin
9 October	Tier II	Gigi Fernández Natalia Zvereva 5–7, 6–1, 6–4	Meredith McGrath Larisa Savchenko	Anke Huber Chanda Rubin
17 October	Tier II	Mary Joe Fernández 6–4, 7–5	Amanda Coetzer	Kristie Boogert Magdalena Maleeva
17 October	Tier II	Meredith McGrath Larisa Savchenko 7–5, 6–1	Lori McNeil Helena Suková	Kristie Boogert Magdalena Maleeva
30 October	Tier III	Brenda Schultz-McCarthy 7–6, 6–2	Dominique Monami	Lindsay Lee Rennae Stubbs
30 October	Tier III	Nicole Arendt Manon Bollegraf 7–6, 4–6, 6–2	Lisa Raymond Rennae Stubbs	Lindsay Lee Rennae Stubbs
30 October	Tier II	Magdalena Maleeva 6–3, 6–4	Ai Sugiyama	Lindsay Davenport Mary Joe Fernández
30 October	Tier II	Lori McNeil Helena Suková 3–6, 6–4, 6–3	Katrina Adams Zina Garrison-Jackson	Lindsay Davenport Mary Joe Fernández
