Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	16-9-2	Rory MacDonald	Decision (unanimous)	UFC on Fox 5	3	5:00	Seattle, Washington , United States
Loss	16-8-2	Nick Diaz	Decision (unanimous)	UFC 137	3	5:00	Las Vegas, Nevada , United States
Draw	16-7-2	Jon Fitch	Draw (majority)	UFC 127	3	5:00	Sydney, New South Wales , Australia
Win	16-7-1	Matt Hughes	KO (punches)	UFC 123	1	0:21	Auburn Hills, Michigan , United States
Loss	15-7-1	Frankie Edgar	Decision (unanimous)	UFC 118	5	5:00	Boston, Massachusetts , United States
Loss	15-6-1	Frankie Edgar	Decision (unanimous)	UFC 112	5	5:00	Yas Island , Abu Dhabi , United Arab Emirates
Win	15-5-1	Diego Sanchez	TKO (doctor stoppage)	UFC 107	5	2:37	Memphis, Tennessee , United States
Win	14-5-1	Kenny Florian	Submission (rear naked choke)	UFC 101	4	3:54	Philadelphia, Pennsylvania , United States
Loss	13-5-1	Georges St-Pierre	TKO (corner stoppage)	UFC 94	4	5:00	Las Vegas, Nevada , United States
Win	13-4-1	Sean Sherk	TKO (flying knee and punches)	UFC 84	3	5:00	Las Vegas, Nevada , United States
Win	12-4-1	Joe Stevenson	Submission (rear naked choke)	UFC 80	2	4:02	Newcastle upon Tyne , United Kingdom
Win	11-4-1	Jens Pulver	Submission (rear naked choke)	The Ultimate Fighter 5 Finale	2	3:12	Las Vegas, Nevada , United States
Loss	10-4-1	Matt Hughes	TKO (punches)	UFC 63	3	3:53	Anaheim, California , United States
Loss	10-3-1	Georges St-Pierre	Decision (split)	UFC 58	3	5:00	Las Vegas, Nevada , United States
Win	10-2-1	Renzo Gracie	Decision (unanimous)	K-1: World Grand Prix Hawaii	3	5:00	Honolulu, Hawaii , United States
Loss	9-2-1	Lyoto Machida	Decision (unanimous)	K-1: Hero's 1	3	5:00	Saitama, Saitama , Japan
Win	9-1-1	Rodrigo Gracie	Decision (unanimous)	K-1 Rumble on the Rock 6	3	5:00	Honolulu, Hawaii , United States
Win	8-1-1	Duane Ludwig	Submission (arm triangle choke)	K-1 MMA: Romanex	1	1:45	Saitama, Saitama , Japan
Win	7-1-1	Matt Hughes	Submission (rear naked choke)	UFC 46	1	4:39	Las Vegas, Nevada , United States
Win	6-1-1	Takanori Gomi	Submission (rear naked choke)	K-1 Rumble on the Rock 4	3	2:35	Honolulu, Hawaii , United States
Draw	5-1-1	Caol Uno	Draw (split)	UFC 41	5	5:00	Atlantic City, New Jersey , United States
Win	5-1	Matt Serra	Decision (unanimous)	UFC 39	3	5:00	Uncasville, Connecticut , United States
Win	4-1	Paul Creighton	TKO (punches)	UFC 37	2	3:23	Bossier City, Louisiana , United States
Loss	3-1	Jens Pulver	Decision (majority)	UFC 35	5	5:00	Uncasville, Connecticut , United States
Win	3-0	Caol Uno	KO (punches)	UFC 34	1	0:11	Las Vegas, Nevada , United States
Win	2-0	Din Thomas	TKO (knee and punches)	UFC 32	1	2:42	East Rutherford, New Jersey , United States
Win	1-0	Joey Gilbert	TKO (punches)	UFC 31	1	4:57	Atlantic City, New Jersey , United States
