State	White (%)	Brown (%)	Black (%)	Asian or Amerindian (%)
Acre	27,1	67,8	4,1	1,0
Alagoas	30,6	65,4	3,8	0,3
Amapá	27,6	62,2	8,1	2,0
Amazonas	21,6	72,4	2,4	3,6
Bahia	20,9	62,9	15,7	0,6
Ceará	34,3	62,4	3,1	0,2
Distrito Federal	41,6	49,5	7,4	1,3
Espírito Santo	42,2	48,6	8,5	0,7
Goiás	40,6	52,7	6,1	0,5
Maranhão	25,5	63,9	9,5	1,0
Mato Grosso	35,3	54,6	7,8	2,3
Mato Grosso do Sul	54,1	38,8	5,3	1,7
Minas Gerais	45,7	44,2	9,7	0,4
Pará	23,6	69,4	6,2	0,8
Paraíba	36,5	57,5	5,8	0,1
Paraná	70,3	25,5	3,0	1,1
Pernambuco	37,9	55,2	6,3	0,6
Piauí	23,5	69,9	6,4	0,2
Rio de Janeiro	54,5	32,4	12,6	0,4
Rio Grande do Norte	37,1	58,5	3,9	0,4
Rio Grande do Sul	82,3	11,4	5,9	0,4
Rondônia	34,4	58,8	5,8	1,0
Roraima	23,5	65,1	9,2	2,3
Santa Catarina	86,6	9,4	3,6	0,4
São Paulo	67,2	25,4	6,2	1,3
Sergipe	28,8	61,3	8,7	1,3
Tocantins	24,5	67,1	7,2	1,2
