Date	Opponent	Score	Loss	Record
September 1	Orioles	5 - 2	Stieb (13-13)	61-73
September 3	@ Indians	3 - 2	Clancy (11-13)	61-74
September 4	@ Indians	4 - 3	Murray (8-5)	61-75
September 5	@ Indians	6 - 5	Barker (12-11)	62-75
September 6	@ Athletics	3 - 1	Kingman (3-11)	63-75
September 7	@ Athletics	2 - 1	D'Acquisto (0-1)	64-75
September 8	@ Athletics	6 - 5	Conroy (0-1)	65-75
September 10	@ Angels	6 - 2	Leal (10-13)	65-76
September 11	@ Angels	4 - 1	Stieb (14-14)	65-77
September 12	@ Angels	3 - 2	Clancy (12-14)	65-78
September 14	Athletics	Postponed (rain) Rescheduled for September 15	Postponed (rain) Rescheduled for September 15	Postponed (rain) Rescheduled for September 15
September 15	Athletics	3 - 2	Conroy (0-2)	66-78
September 15	Athletics	12 - 11	Hanna (0-3)	67-78
September 16	Angels	2 - 1 (12)	Sánchez (6-3)	68-78
September 17	Angels	6 - 2	John (12-12)	69-78
September 18	Angels	8 - 6	Murray (8-6)	69-79
September 19	Angels	5 - 1	Eichhorn (0-2)	69-80
September 20	@ Twins	4 - 1	Leal (11-14)	69-81
September 21	@ Twins	5 - 1	Viola (4-8)	70-81
September 22	@ Twins	3 - 2 (10)	Havens (9-13)	71-81
September 24	@ Mariners	3 - 2	Murray (8-7)	71-82
September 25	@ Mariners	7 - 0	Leal (11-15)	71-83
September 26	@ Mariners	6 - 2	Bannister (12-12)	72-83
September 28	Twins	3 - 0	Viola (4-9)	73-83
September 28	Twins	4 - 3 (10)	Davis (3-9)	74-83
September 29	Twins	8 - 0	Eichhorn (0-3)	74-84
September 30	Twins	6 - 4	O'Connor (8-9)	75-84
