District	Seat	Candidate	Party	Vote	Percentage
1	House A	Steve Elgar	Democratic	6,634	49.13%
1	House A	Eric Anderson	Republican	6,869	50.87%
1	House B	Bob Wynhausen	Democratic	4,973	37.24%
1	House B	George E. Eskridge	Republican	8,382	62.76%
1	Senate	Jim Ramsey	Democratic	4,265	31.42%
1	Senate	Shawn A. Keough	Republican	9,308	68.58%
2	House A	Mary Lou Shepherd	Democratic	8,021	100.00%
2	House B	Richard T. Taniguchi	Democratic	4,625	43.62%
2	House B	R.J. Dick Harwood	Republican	5,978	56.38%
2	Senate	Steve Johnson	Democratic	4,426	41.49%
2	Senate	Joyce M. Broadsword	Republican	6,241	58.51%
3	House A	James W. Clark	Republican	9,825	100.00%
3	House B	Phil Hart	Republican	9,751	100.00%
3	Senate	Mike Jorgenson	Republican	9,825	100.00%
4	House A	Bonnie Douglas	Democratic	5,463	46.49%
4	House A	Marge Chadderdon	Republican	6,287	53.51%
4	House B	George C. Sayler	Democratic	6,757	57.15%
4	House B	Sharon Culbreth	Republican	5,066	42.85%
4	Senate	Ray J. Writz	Constitution	233	1.98%
4	Senate	Steven L. Foxx	Democratic	5,536	46.96%
4	Senate	Jeremy Paul Boggess	Independent	293	2.49%
4	Senate	John W Goedde	Republican	5,728	48.58%
5	House A	David Larsen	Democratic	4,278	36.06%
5	House A	Bob Nonini	Republican	7,562	63.74%
5	House A	Rose Johnson	Write-In	23	0.19%
5	House B	Lyndon Harriman	Democratic	4,054	34.46%
5	House B	Frank N. Henderson	Republican	7,710	65.54%
5	Senate	Charles W. Thomas	Democratic	3,929	33.36%
5	Senate	Jim Hammond	Republican	7,848	66.64%
6	House A	Tom Trail	Republican	9,258	100.00%
6	House B	Shirley G. Ringo	Democratic	7,329	61.56%
6	House B	L. Roger Falen	Republican	4,576	38.44%
6	Senate	Gary J. Schroeder	Republican	9,138	100.00%
7	House A	Liz Chavez	Democratic	6,667	55.25%
7	House A	Tony R. Snodderly	Republican	5,400	44.75%
7	House B	John Rusche	Democratic	9,824	100.00%
7	Senate	Mike Naccarato	Democratic	5,912	48.78%
7	Senate	Joe Stegner	Republican	6,207	51.22%
8	House A	Darcy James	Democratic	6,789	47.00%
8	House A	Ken A. Roberts	Republican	7,655	53.00%
8	House B	Charlene Douglas	Democratic	5,411	38.61%
8	House B	Paul E. Shepherd	Republican	8,603	61.39%
8	Senate	Scott McLeod	Democratic	6,958	48.45%
8	Senate	Leland G. Heinrich	Republican	7,403	51.55%
9	House A	Lawerence E. Denney	Republican	9,189	100.00%
9	House B	Clete Edmunson	Republican	9,088	100.00%
9	Senate	Tony Edmondson	Democratic	4,338	38.93%
9	Senate	Monty J. Pearce	Republican	6,805	61.07%
10	House A	Robert Ring	Republican	7,521	100.00%
10	House B	Darlene Madsen	Democratic	3,054	33.73%
10	House B	Darrell Bolz	Republican	6,001	66.27%
10	Senate	John McGee	Republican	7,550	100.00%
11	House A	Kirsten Faith Richardson	Constitution	3,026	24.56%
11	House A	Steven Thayn	Republican	9,294	75.44%
11	House B	Carlos Bilbao	Republican	11,446	100.00%
11	Senate	Jared Eastley	Constitution	3,006	22.95%
11	Senate	Brad Little	Republican	10,090	77.05%
12	House A	Richard Mabbutt	Democratic	3,152	37.28%
12	House A	Robert E Schaefer	Republican	5,303	62.72%
12	House B	Sunny Dawn Freeman-Genz	Democratic	2,672	31.61%
12	House B	Gary E. Collins	Republican	5,781	68.39%
12	Senate	Donald McMurrian	Democratic	2,909	34.21%
12	Senate	Curt McKenzie	Republican	5,594	65.79%
13	House A	Douglas Yarbrough	Democratic	4,231	27.35%
13	House A	Dennis Weiler	Libertarian	608	3.93%
13	House A	Brent Crane	Republican	10,631	68.72%
13	House B	W.W. Deal	Republican	13,188	100.00%
13	Senate	Rohn F. Webb	Democratic	3,807	24.42%
13	Senate	Bryant S. Neal	Libertarian	679	4.36%
13	Senate	Patti Anne Lodge	Republican	11,101	71.22%
14	House A	Mike Moyle	Republican	16,949	100.00%
14	House B	Daniel S. Weston	Democratic	6,943	34.45%
14	House B	Raul R. Labrador	Republican	13,208	65.55%
14	Senate	Glida Bothwell	Democratic	6,591	32.41%
14	Senate	Stan Bastian	Republican	13,746	67.59%
15	House A	Jerry Peterson	Democratic	5,524	44.78%
15	House A	Lynn M. Luker	Republican	6,811	55.22%
15	House B	Marvin D. Gardner	Libertarian	3,107	26.49%
15	House B	Max C. Black	Republican	8,622	73.51%
15	Senate	Phyllis Hower	Democratic	4,721	38.11%
15	Senate	John C. Andreason	Republican	7,667	61.89%
16	House A	Margaret Henbest	Democratic	9,663	100.00%
16	House B	Les Bock	Democratic	6,458	52.68%
16	House B	Jana M. Kemp	Republican	5,802	47.32%
16	Senate	David Langhorst	Democratic	9,816	100.00%
17	House A	Katherine B. Frazier	Constitution	414	3.62%
17	House A	Bill Killen	Democratic	6,489	56.72%
17	House A	Kathie Garrett	Republican	4,537	39.66%
17	House B	Jaclyn Ann Crooks	Constitution	375	3.25%
17	House B	Sue Chew	Democratic	6,735	58.38%
17	House B	Janet J. Miller	Republican	4,426	38.37%
17	Senate	Elliot Werk	Democratic	7,680	67.06%
17	Senate	Tim Flaherty	Republican	3,772	32.94%
18	House A	Branden J. Durst	Democratic	6,664	48.63%
18	House A	James Oyler	Libertarian	550	4.01%
18	House A	Debbie Field	Republican	6,489	47.35%
18	House B	Phylis K King	Democratic	7,240	52.53%
18	House B	Julie Ellsworth	Republican	6,543	47.47%
18	Senate	Kate Kelly	Democratic	8,945	63.01%
18	Senate	Brad Bolicek	Republican	5,252	36.99%
19	House A	Anne Pasley-Stuart	Democratic	14,418	100.00%
