City	Country	IATA	ICAO	Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport *
Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Changsha	China	CSX	ZGHA	Changsha Huanghua International Airport [T]
Chengdu	China	CTU	ZUUU	Chengdu Shuangliu International Airport
Chennai	India	MAA	VOMM	Chennai International Airport [T]
Chiang Mai	Thailand	CNX	VTCC	Chiang Mai International Airport
Chongqing	China	CKG	ZUCK	Chongqing Jiangbei International Airport [T]
Clark	Philippines	CRK	RPLC	Clark International Airport [T]
Da Nang	Vietnam	DAD	VVDN	Da Nang International Airport [T]
Delhi	India	DEL	VIDP	Indira Gandhi Airport [T]
Denpasar	Indonesia	DPS	WADD	Ngurah Rai International Airport
Dhaka	India	DAC	VGHS	Shahjalal International Airport
Fuzhou	China	FOC	ZSFZ	Fuzhou Changle International Airport
Guilin	China	KWL	ZGKL	Guilin Liangjiang International Airport
Guiyang	China	KWE	ZUGY	Guiyang Longdongbao International Airport
Haikou	China	HAK	ZJHK	Haikou Meilan International Airport
Hailar	China	HLD	ZBLA	Hailar Dongshan Airport #
Hangzhou	China	HGH	ZSHC	Hangzhou Xiaoshan International Airport
Hanoi	Vietnam	HAN	VVNB	Noi Bai International Airport *
Harbin	China	HRB	ZYHB	Harbin Taiping International Airport
Ho Chi Minh City	Vietnam	SGN	VVTS	Tan Son Nhat International Airport ^
Hohhot	China	HET	ZBHH	Baita International Airport
Hong Kong	Hong Kong	HKG	VHHH	Hong Kong International Airport † *
Jinan	China	TNA	ZGJN	Jinan Yaoqiang International Airport [T]
Kaohsiung	Taiwan	KHH	RCKH	Kaohsiung International Airport [T]
Kitakyushu	Japan	KKJ	RJFR	Kitakyushu Airport [T]
Kota Kinabalu	Malaysia	BKI	WBKK	Kota Kinabalu International Airport
Kunming	China	KMG	ZPPP	Kunming Changshui International Airport
Lanzhou	China	ZGC	ZLLL	Lanzhou Zhongchuan Airport #
Laoag	Philippines	LAO	RPLI	Laoag International Airport [T]
London	United Kingdom	LGW	EGKK	Gatwick Airport [T]
Malé	Maldives	MLE	VRMM	Ibrahim Nasir International Airport
Manila	Philippines	MNL	RPLL	Ninoy Aquino International Airport [T]
Moscow	Russia	SVO	UUEE	Sheremetyevo International Airport [T]
Nanjing	China	NKG	ZSNJ	Nanjing Lukou International Airport
Nanning	China	NNG	ZGNN	Nanning Wuxu International Airport ^
Naypyidaw	Burma	NPT	VYNT	Naypyidaw Airport [T]
Ningbo	China	NGB	ZSNB	Ningbo Lishe International Airport [T]
Okinawa	Japan	OKA	ROAH	Naha Airport
Osaka	Japan	KIX	RJBB	Kansai International Airport ^
Penang	Malaysia	PEN	WMKP	Penang International Airport [T]
Phuket	Thailand	HKT	VTSP	Phuket International Airport
Qingdao	China	TAO	ZSQD	Qingdao Liuting International Airport [T]
Sanya	China	SYX	ZJSY	Sanya Phoenix International Airport
Sapporo	Japan	CTS	RJCC	New Chitose Airport [T]
Seoul	Republic of Korea	ICN	RKSI	Incheon International Airport [T]
Shanghai	China	SHA	ZSSS	Shanghai Hongqiao International Airport
Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport *
Shijiazhuang	China	SJW	ZBSJ	Shijiazhuang Zhengding International Airport [T]
Siem Reap	Cambodia	REP	VDSR	Siem Reap International Airport [T]
Singapore	Singapore	SIN	WSSS	Changi Airport ^
Subic Bay	Philippines	SFS	RPLB	Subic Bay International Airport [T]
Taichung	Taiwan	RMQ	RCMQ	Taichung Airport
Taipei	Taiwan	TPE	RCTP	Taiwan Taoyuan International Airport *
Taiyuan	China	TYN	ZBYN	Taiyuan Wusu International Airport
Tianjin	China	TSN	ZGTJ	Tianjin Binhai International Airport [T]
Tokyo	Japan	NRT	RJAA	Narita International Airport ^
Tokyo	Japan	HND	RJTT	Tokyo International Airport ^
Xiamen	China	XMN	ZGAM	Xiamen Gaoqi International Airport ^
Zhengzhou	China	CGO	ZHCC	Zhengzhou Xinzheng International Airport ^
Miho	Japan	YGJ	RJOH	Miho-Yonago Airport #
Tokushima	Japan	TKS	RJOS	Tokushima Airport #
Kagoshima	Japan	KOJ	RJFK	Kagoshima Airport #
