Mission	Location	Type	Head of Mission	Position	List
Germany	Berlin	Embassy	H.E. Rafael Calventi Gaviño	Ambassador	List
Austria	Vienna	Embassy	Ramón Quiñones	Ambassador	List
Belgium	Brussels	Embassy	Alejandro Augusto González Pons	Ambassador	List
Brazil	Brasilia	Embassy	Héctor Dionisio Pérez	Ambassador	List
Chile	Santiago	Embassy	Pablo Arturo Maríñez Álvarez	Ambassador	List
Republic of China	Taipei	Embassy	Víctor Manuel Sánchez Peña	Ambassador	List
Colombia	Bogotá	Embassy	Ángel Lockward	Ambassador	List
Costa Rica	San José	Embassy	Adonaida Medina Rodríguez	Ambassador	List
Cuba	Havana	Embassy	José Manuel Castillo Betances	Ambassador	List
Ecuador	Quito	Embassy	Nestor Juan Cerón Suero	Ambassador	List
Egypt	Cairo	Embassy	María Gabriela Bonetti	Ambassador	List
El Salvador	San Salvador	Embassy	Roberto Victoria	Ambassador	List
France	Paris	Embassy	Guillermo Piña Contreras	Ambassador	List
Greece	Athens	Consulate	Genoveva Bernard de Roidis	General Consul	List
Guatemala	Guatemala City	Embassy	Octavio Alfredo León Lister Henríquez	Ambassador	List
Haiti	Port-au-Prince	Embassy	Rubén Silié Valdez	Ambassador	List
Vatican City	Vatican City	Embassy	Víctor Grimaldi	Ambassador	List
Honduras	Tegucigalpa	Embassy	José Del Carmen Acosta Carrasco	Ambassador	List
India	New Delhi	Embassy	Frank Hans Dannenberg Castellanos	Ambassador	List
Israel	Tel Aviv	Embassy	Alexander de la Rosa	Ambassador	List
Italy	Rome	Embassy	Vinicio Tobal Ureña	Ambassador	List
Jamaica	Kingston	Embassy	Filomena Navarro Tavárez	Ambassador	List
Japan	Tokyo	Embassy	Pedro Vergés Ciman	Ambassador	List
South Korea	Seoul	Embassy	Hector Galvan Susana	Ambassador	List
Mexico	Mexico City	Embassy	Pablo Arturo Mariñez Álvarez	Ambassador	List
Morocco	Rabat	Embassy	Francisco A. Caraballo	Ambassador	List
Netherlands	The Hague	Embassy	Luis Arias Nunez	Ambassador	List
Nicaragua	Managua	Embassy	Pedro Blandino	Ambassador	List
Panama	Panama City	Embassy	Virgilio Augusto Álvarez Bonilla	Ambassador	List
Peru	Lima	Embassy	Rafael Antonio Julian Cedano	Ambassador	List
Portugal	Lisbon	Embassy	Ana Silvia Reynoso de Abud	Ambassador	List
Qatar	Doha	Embassy	Hugo Guiliani Cury	Ambassador	List
South Africa	Pretoria	Embassy	Raul Barrientos Lara	Ambassador	List
Russia	Moscow	Embassy	Jorge Luís Pérez Alvarado	Ambassador	List
Spain	Madrid	Embassy	César Medina	Ambassador	List
Sweden	Stockholm	Embassy	Marina Isabel Cáceres Estévez	Ambassador	List
Switzerland	Berne	Embassy	José Tomás Ares Germán	Ambassador	List
Trinidad and Tobago	Port of Spain	Embassy	José Manuel Castillo	Ambassador	List
United Arab Emirates	Dubai	Honorary Consulate	Sultan Ahmed bin Sulayem	Honorary Consul	List
United Kingdom	London	Embassy	Anibal de Castro	Ambassador	List
United States	Washington D.C.	Embassy	Roberto Saladín	Ambassador	List
Uruguay	Montevideo	Embassy	Silvio Herasme Peña	Ambassador	List
Venezuela	Caracas	Embassy	Jaime Durán Hernando	Ambassador	List
