Place	Player	Country	Score	To par	Money ( $ )
1	Hale Irwin	United States	74-68-67-75=284	E	50,000
T2	Jerry Pate	United States	71-74-69-72=286	+2	22,250
T2	Gary Player	South Africa	73-73-72-68=286	+2	22,250
T4	Larry Nelson	United States	71-68-76-73=288	+4	13,733
T4	Bill Rogers	United States	71-72-73-72=288	+4	13,733
T4	Tom Weiskopf	United States	71-74-67-76=288	+4	13,733
7	David Graham	Australia	73-73-70-73=289	+5	10,000
8	Tom Purtzer	United States	70-69-75-76=290	+6	9,000
T9	Keith Fergus	United States	70-77-72-72=291	+7	7,500
T9	Jack Nicklaus	United States	74-77-72-68=291	+7	7,500
