Outcome	Date	Location	Surface	Partnering	Opponent in final	Score
Winner	6 February 1999	Wellington, New Zealand	Hard	Rewa Hudson	Gail Biggs / Shelley Bryce	6–1 6–1
Winner	11 July 1999	Felixstowe , England	Grass	Nicole Sewell	Victoria Davies / Kate Warne-Holland	6–1 6–4
Runner-up	17 September 1999	Frinton , England	Grass	Nicole Sewell	Natalie Grandin / Nicole Rencken	2–6 6–3 1–6
Winner	28 May 2000	El Paso, Texas , USA	Hard	Manisha Malhotra	Kaysie Smashey / Varalee Sureephong	6–2 7–6
Winner	4 March 2001	Bendigo , Australia	Hard	Shelley Stephens	Debby Haak / Jolanda Mens	6–3 6–2
Runner-up	22 April 2001	Ho Chi Minh City , Vietnam	Hard	Shelley Stephens	Manisha Malhotra / Nirupama Vaidyanathan	3–6 5–7
Winner	18 June 2001	Marseille , France	Clay	Manisha Malhotra	Caroline Dhenin / Maja Palaversic-Cooper-Smith	7–6(5) 6–2
Winner	1 July 2001	Båstad , Sweden	Hard	Manisha Malhotra	Daniela Klemenschits / Sandra Klemenschits	6–3 6–1
Runner-up	30 September 2001	Raleigh, North Carolina , USA	Clay	Tracey O'Connor	Allison Baker / Melinda Czink	4–6 6–1 4–6
Winner	21 October 2001	Largo, Florida , USA	Hard	Manisha Malhotra	Erika de Lone / Emmanuelle Gagliardi	NP
Runner-up	21 July 2002	Valladolid , Spain	Hard	Manisha Malhotra	Elena Baltacha / Natacha Randriantefy	2–6 3–6
Runner-up	30 March 2003	Atlanta, Georgia , USA	Hard	Francesca Lubiani	Ting Li / Tian-Tian Sun	6–4 4–6 4–6
Winner	18 May 2003	Casale , Italy	Clay	Elke Clijsters	Jolanda Mens / Stefanie Weis	6–3 6–4
Winner	1 June 2003	Campobasso , Italy	Clay	Ekaterina Kozhokhina	Ana Jovanović / Visnja Vuletic	6–1 6–1
Runner-up	13 July 2003	Felixstowe , England	Grass	Chantal Coombs	Karen Nugent / Elsa O'Riain	6–7(7) 6–7(2)
Winner	7 September 2003	Mestre , Italy	Clay	Francesca Lubiani	Monique Adamczak / Shelley Bryce	6–2 4–6 6–2
Winner	14 September 2003	Spoleto , Italy	Clay	Shelley Stephens	Kika Hogendoorn / Bettina Pirker	6–3 3–6 7–5
Runner-up	28 September 2003	Glasgow , Scotland	Hard	Francesca Lubiani	Kim Kilsdonk / Nicole Kriz	5–7 2–6
Runner-up	8 February 2004	Rockford, Illinois , USA	Hard	Francesca Lubiani	Mariana Díaz-Oliva / Gisela Dulko	7–6(5) 3–6 1–6
Runner-up	22 February 2004	Columbus, Ohio , USA	Hard	Francesca Lubiani	Stanislava Hrozenská / Lenka Němečková	6–7(3) 6–4 3–6
Winner	28 February 2004	St. Paul, Minnesota , USA	Hard	Francesca Lubiani	Jessica Lehnhoff / Trudi Musgrave	6–7(3) 2–3 RET
Winner	6 June 2004	Surbiton , England	Grass	Nicole Sewell	Surina De Beer / Karen Nugent	2–6 7–5 7–6(6)
Runner-up	20 March 2005	Orange, California , USA	Hard	Francesca Lubiani	Carly Gullickson / Jennifer Hopkins	3–6 4–6
Runner-up	27 March 2005	Redding, California , USA	Hard	Francesca Lubiani	Yuliya Beygelzimer / Jennifer Hopkins	4–6 7–6(1) 3–6
Winner	9 July 2005	Felixstowe , England	Grass	Francesca Lubiani	Jarmila Groth / Alla Kudryavtseva	6–1 4–6 3–2 RET
Runner-up	21 August 2005	Jesi , Italy	Hard	Francesca Lubiani	Silvia Disderi / Giulia Gabba	2–6 6–2 4–6
Winner	28 August 2005	Trecastagni , Italy	Hard	Francesca Lubiani	Regina Kulikova / Marina Shamayko	6–2 4–6 6–3
Runner-up	5 February 2006	Taupo , New Zealand	Hard	Francescz Lubiani	Lauren Barnikow / Christina Fusano	4–6 4–6
Runner-up	12 February 2006	Wellington, New Zealand	Hard	Ellen Barry	Paula Marama / Kairangi Vano	3–6 1–6
Runner-up	17 March 2006	Canberra , Australia	Clay	Nicole Kriz	Monique Adamczak / Christina Horiatopoulos	6–7(4) 1–6
Runner-up	14 May 2006	Fukuoka , Japan	Carpet	Christina Horiatopoulos	Yung-Jan Chan / Chia-Jung Chuang	1–6 2–6
Winner	8 October 2006	Troy, Alabama , USA	Hard	Nicole Kriz	Chanelle Scheepers / Neha Uberoi	6–7(1) 7–6 6–3
Winner	29 October 2006	Augusta, Georgia , USA	Hard	Nicole Kriz	Chanelle Scheepers / Neha Uberoi	7–6(3) 6–1
Winner	19 November 2006	Lawrenceville, Georgia , USA	Hard	Julie Ditty	Christina Fusano / Aleke Tsoubanos	7–6(5) 6–4
Runner-up	4 May 2007	Catania , Italy	Clay	Nicole Kriz	Debbrich Feys / Darya Kustova	4–6 4–6
Runner-up	21 October 2007	Lawrenceville, Georgia , USA	Hard	Julie Ditty	Stéphanie Dubois / Alisa Kleybanova	2–6 0–6
