Rider	Manufacturer	Laps	Time/Retired	Grid
Manuel Poggiali	Aprilia	26	42:14.305	2
Randy de Puniet	Aprilia	26	+0.615	1
Franco Battaini	Aprilia	26	+5.641	3
Sebastián Porto	Honda	26	+12.147	5
Roberto Rolfo	Honda	26	+12.967	8
Anthony West	Aprilia	26	+19.569	7
Fonsi Nieto	Aprilia	26	+23.080	4
Toni Elías	Aprilia	26	+27.296	6
Sylvain Guintoli	Aprilia	26	+30.187	11
Naoki Matsudo	Yamaha	26	+31.447	9
Héctor Faubel	Aprilia	26	+31.511	10
Alex Baldolini	Aprilia	26	+39.311	15
Eric Bataille	Honda	26	+40.209	13
Johan Stigefelt	Aprilia	26	+46.756	14
Chaz Davies	Aprilia	26	+54.833	20
Jaroslav Huleš	Yamaha	26	+1:02.623	23
Erwan Nigon	Aprilia	26	+1:09.165	18
Christian Gemmel	Honda	26	+1:16.891	22
Henk vd Lagemaat	Honda	25	+1 lap	24
Hugo Marchand	Aprilia	11	Retirement	17
Katja Poensgen	Honda	10	Retirement	25
Jakub Smrž	Honda	9	Accident	16
Dirk Heidolf	Aprilia	8	Retirement	19
Joan Olivé	Aprilia	3	Retirement	21
Alex Debón	Honda	10	Disqualified	12
OFFICIAL 250cc REPORT	OFFICIAL 250cc REPORT	OFFICIAL 250cc REPORT	OFFICIAL 250cc REPORT	OFFICIAL 250cc REPORT
