Strongs #	Hebrew word	Strongs Transliteration	Strongs Words Compounded	English Spelling
3059	יְהוֹאָחָז	Y e how'achaz	Jehovah & achaz [# 270]	Jehoachaz
3099	יוֹאָחָז	Yow'achaz	"a form of 3059"	Joachaz
3060	יְהוֹאָש	Y e how'ash	Jehovah & 'esh [# 784]	Jehoash
3101	יוֹאָש	Yow'ash	"a form of 3060"	Joash
3075	יְהוֹזָבָד	Y e howzabad	Jehovah & zabad [# 2064]	Jehozabad
3107	יוֹזָבָד	Yowzabad	"a form of 3075"	Jozabad
3076	יְהוֹחָנָן	Y e howchanan	Jehovah & chanan [# 2603]	Jehochanan
3110	יוֹחָנָן	Yowchanan	"a form of 3076"	Jochanan
3077	יְהוֹיָדָע	Y e howyada	Jehovah & yada [# 3045]	Jehojada
3111	יוֹיָדָע	Yowyada	"a form of 3077"	Jojada
3078	יְהוֹיָכִין	Y e howyakiyn	Jehovah & kuwn [# 3559]	Jehojakin
3112	יוֹיָכִין	Yowyakiyn	"a form of 3078"	Jojakin
3079	יְהוֹיָקִים	Y e howyaqiym	Jehovah & quwm [# 3965]	Jehojakim
3113	יוֹיָקִים	Yowyaqiym	"a form of 3079"	Jojakim
3080	יְהוֹיָרִיב	Y e howyariyb	Jehovah & riyb [# 7378]	Jehojarib
3114	יוֹיָרִיב	Yowyariyb	"a form of 3080"	Jojarib
3082	יְהוֹנָדָב	Y e hownadab	Jehovah & nadab [# 5068]	Jehonadab
3122	יוֹנָדָב	Yownadab	"a form of 3082"	Jonadab
3083	יְהוֹנָתָן	Y e hownathan	Jehovah & nathan [# 5414]	Jehonathan
3129	יוֹנָתָן	Yownathan	"a form of 3083"	Jonathan
3085	יְהוֹעַדָּה	Y e how'addah	Jehovah & 'adah [# 5710]	Jehoaddah
3087	יְהוֹצָדָק	Y e howtsadaq	Jehovah & tsadaq [# 6663]	Jehotsadak
3136	יוֹצָדָק	Yowtsadaq	"a form of 3087"	Jotsadak
3088	יְהוֹרָם	Y e howram	Jehovah & ruwm [# 7311]	Jehoram
3141	יוֹרָם	Yowram	"a form of 3088"	Joram
3092	יְהוֹשָפָט	Y e howshaphat	Jehovah & shaphat [# 8199]	Jehoshaphat
