Date	Tournament	Surface	Partner	Opponent in the final	Score in the final
11 July 2005	U.S.A. F17 ( Peoria )	Clay (Outdoor)	Alexandre Simoni	David Martin Jeremy Wurtzman	6–3, 7–6(7)
6 March 2006	U.S.A. F6 ( McAllen, Texas )	Hard (Outdoor)	Wesley Whitehouse	Michel Koning Steven Korteling	6–3, 6–4
24 April 2006	Mexico City Challenger , ( Mexico City )	Hard (Outdoor)	André Ghem	Rik de Voest Glenn Weiner	6–4, 0–6, [10–3]
15 May 2006	Mexico F7 ( Guadalajara )	Clay (Outdoor)	Bruno Echagaray	Eduardo Peralta-Tello Victor Romero	6–3, 6–3
9 October 2006	Mexico F17	Hard (Outdoor)	Raphael Durek	Miguel Gallardo-Valles Carlos Palencia	6–2, 6–4
12 February 2007	Mexico F2	Hard (Outdoor)	Pierrick Ysern	Floris Kilian Boy Westerhof	0–6, 7–6(2), [10–3]
5 March 2007	Portugal F2	Hard (Outdoor)	Niels Desein	Murad Inoyatov Dmitri Sitak	6–3, 6–4
12 March 2007	Portugal F3	Hard (Outdoor)	Franko Škugor	Luis Antonio Perez-Perez Sergio Pérez-Pérez	6–1, 6–0
18 June 2007	Ireland F1	Carpet (Outdoor)	Raphael Durek	Barry King Colin O'Brien	7–5, 7–6(2)
24 September 2007	Spain F36	Hard (Outdoor)	Daniel Lustig	Miguel Ángel López Jaén Sergio Pérez-Pérez	7–5, 5–7, [10–5]
16 June 2008	Belarus F2	Hard (Outdoor)	Dmitri Sitak	Sergei Demekhine Pavel Katliarov	7–5, 6–4
28 July 2008	Senegal F1	Hard (Outdoor)	Niels Desein	Benjamin Balleret Philippe De Bonnevie	7–5, 6–7(3), [10–5]
4 August 2008	Senegal F2	Hard (Outdoor)	Niels Desein	Benjamin Balleret Philippe De Bonnevie	6–4, 6–4
25 August 2008	Italy F28	Clay (Outdoor)	Niels Desein	Yan Bai Jun-Chao Xun	6–3, 6–3
24 November 2008	Israel F5	Hard (Outdoor)	Amir Hadad	Sebastian Rieschick Amir Weintraub	6–3, 6–4
2 February 2009	Ivory Coast F1	Hard (Outdoor)	Andreas Haider-Maurer	Andre Begemann Leonardo Tavares	6–1, 6–7(5), [14–12]
19 October 2009	France F19	Hard (Indoor)	Niels Desein	Fabrice Martin Adil Shamasdin	7–6(8), 1–6, [10–5]
24 April 2010	Manta Open – Trofeo Ricardo Delgado Aray	Hard (Outdoor)	Ryler DeHeart	Martin Emmrich Andreas Siljeström	6–4, 7–5
28 June 2010	Nielsen Pro Tennis Championship ( Winnetka )	Hard (Outdoor)	Ryler DeHeart	Rik de Voest Somdev Devvarman	7–6(4), 4–6, [10–8]
28 August 2010	2010 Beijing International Challenger ( Beijing )	Hard (Outdoor)	Artem Sitak	Sadik Kadir Purav Raja	7–6(4), 7–6(5)
2 September 2011	2011 Chang-Sat Bangkok Open ( Bangkok )	Hard (Outdoor)	Riccardo Ghedin	Nicholas Monroe Ludovic Walter	6–4, 6–4
