Place	Player	Country	Score	To par	Money ( $ )
1	Gary Player	South Africa	69-68-69-74=280	–8	20,000
T2	Charles Coe (a)	United States	72-71-69-69=281	–7	0
T2	Arnold Palmer	United States	68-69-73-71=281	–7	12,000
T4	Tommy Bolt	United States	72-71-74-68=285	–3	7,000
T4	Don January	United States	74-68-72-71=285	–3	7,000
6	Paul Harney	United States	71-73-68-74=286	–2	4,800
T7	Jack Burke, Jr.	United States	76-70-68-73=287	–1	3,200
T7	Billy Casper	United States	72-77-69-69=287	–1	3,200
T7	Bill Collins	United States	74-72-67-74=287	–1	3,200
T7	Jack Nicklaus (a)	United States	70-75-70-72=287	–1	0
