Week	Date	Opponent	Result	Attendance
1	September 9, 1990	Phoenix Cardinals	W 31-0	52,649
2	September 16, 1990	at San Francisco 49ers	L 26-13	64,287
3	September 23, 1990	Dallas Cowboys	W 19-15	53,804
4	September 30, 1990	at Phoenix Cardinals	W 38-10	49,303
5	Bye	Bye	Bye	Bye
6	October 14, 1990	New York Giants	L 24-20	54,737
7	October 21, 1990	Philadelphia Eagles	W 13-7	53,567
8	October 28, 1990	at New York Giants	L 21-10	75,321
9	November 4, 1990	at Detroit Lions	W 41-38	69,326
10	November 12, 1990	at Philadelphia Eagles	L 28-14	65,857
11	November 18, 1990	New Orleans Saints	W 31-17	52,573
12	November 22, 1990	at Dallas Cowboys	L 27-17	60,355
13	December 2, 1990	Miami Dolphins	W 42-20	53,599
14	December 9, 1990	Chicago Bears	W 10-9	53,920
15	December 15, 1990	at New England Patriots	W 25-10	22,286
16	December 22, 1990	at Indianapolis Colts	L 35-28	58,173
17	December 30, 1990	Buffalo Bills	W 29-14	52,397
