Game	February	Opponent	Score	Record	Points
51	2	Washington Capitals	2–5	24–24–3	51
52	3	San Jose Sharks	2–3 OT	24–25–3	51
53	5	@ Boston Bruins	0–4	24–26–3	51
54	8	@ Ottawa Senators	3–3 OT	24–26–4	52
55	10	Florida Panthers	4–3 OT	25–26–4	54
56	11	@ Detroit Red Wings	3–6	25–27–4	54
57	13	Pittsburgh Penguins	0–3	25–28–4	54
58	15	@ San Jose Sharks	6–4	26–28–4	56
59	16	@ Mighty Ducks of Anaheim	3–6	26–29–4	56
60	18	@ Los Angeles Kings	4–3	27–29–4	58
61	21	Montreal Canadiens	8–7	28–29–4	60
62	24	New York Islanders	5–4 OT	29–29–4	62
63	25	@ New York Islanders	0–2	29–30–4	62
64	28	@ New York Rangers	1–4	29–31–4	62
