Rank	Group	Name	Nationality	Result
1	A	Piotr Małachowski	Poland	65.94
2	A	Virgilijus Alekna	Lithuania	65.84
3	B	Rutger Smith	Netherlands	65.65
4	B	Frank Casañas	Spain	64.99
5	B	Gerd Kanter	Estonia	64.66
6	A	Bogdan Pishchalnikov	Russia	64.60
7	A	Mario Pestano	Spain	64.42
8	A	Robert Harting	Germany	64.19
9	B	Rashid Shafi Al-Dosari	Qatar	63.83
10	A	Aleksander Tammert	Estonia	63.10
11	A	Róbert Fazekas	Hungary	62.64
12	B	Frantz Kruger	Finland	62.48
13	A	Gabor Mate	Hungary	62.44
14	B	Märt Israel	Estonia	61.98
15	A	Dzmitry Sivakou	Belarus	61.75
16	A	Michael Robertson	United States	61.64
17	B	Ehsan Haddadi	Iran	61.34
18	B	Gerhard Mayer	Austria	61.32
19	A	Casey Malone	United States	61.26
20	B	Ercüment Olgundeniz	Turkey	60.83
21	B	Zoltán Kővágó	Hungary	60.79
22	B	Vikas Gowda	India	60.69
23	A	Omar Ahmed El Ghazaly	Egypt	60.24
24	A	Oleksiy Semenov	Ukraine	60.18
25	B	Ian Waltz	United States	60.02
26	A	Abbas Samimi	Iran	59.92
27	A	Jorge Fernández	Cuba	59.60
28	A	Jan Marcell	Czech Republic	59.52
29	B	Martin Marić	Croatia	59.25
30	B	Jorge Balliengo	Argentina	58.82
31	A	Benn Harradine	Australia	58.55
32	B	Niklas Arrhenius	Sweden	58.22
33	B	Hannes Kirchler	Italy	56.44
34	A	Sultan Mubarak Al-Dawoodi	Saudi Arabia	56.29
35	A	Vadim Hranovschi	Moldova	56.19
36	B	Haidar Nasser Shaheed	Iraq	54.19
37	B	Eric Matthias	British Virgin Islands	53.11
