Driver	Constructor	Laps	Time/Retired	Grid
Rubens Barrichello	Ferrari	73	1:31:07.934	2
Michael Schumacher	Ferrari	73	+ 0.011	1
David Coulthard	McLaren - Mercedes	73	+ 7.799	3
Juan Pablo Montoya	Williams - BMW	73	+ 9.911	4
Jarno Trulli	Renault	73	+ 56.847	8
Jacques Villeneuve	BAR - Honda	73	+ 58.211	7
Giancarlo Fisichella	Jordan - Honda	72	+1 Lap	9
Jenson Button	Renault	72	+1 Lap	14
Nick Heidfeld	Sauber - Petronas	72	+1 Lap	10
Eddie Irvine	Jaguar - Cosworth	72	+1 Lap	13
Takuma Sato	Jordan - Honda	72	+1 Lap	15
Olivier Panis	BAR - Honda	72	+1 Lap	12
Heinz-Harald Frentzen	Sauber - Petronas	71	+2 Laps	11
Mika Salo	Toyota	71	+2 Laps	19
Allan McNish	Toyota	71	+2 Laps	16
Ralf Schumacher	Williams - BMW	71	+2 Laps	5
Kimi Räikkönen	McLaren - Mercedes	50	Engine	6
Alex Yoong	Minardi - Asiatech	46	Engine	20
Mark Webber	Minardi - Asiatech	38	Steering	18
Pedro de la Rosa	Jaguar - Cosworth	27	Transmission	17
