Year	Venue	Champion	Country	Score	Runner-up
2013	Royal Cinque Ports Golf Club	Garrick Porteous	England	6 & 5	Toni Hakula
2012	Royal Troon Golf Club	Alan Dunbar	Northern Ireland	1 up	Matthias Schwab
2011	Hillside Golf Club	Bryden Macpherson	Australia	3 & 2	Michael Stewart
2010	Muirfield	Jin Jeong	South Korea	5 & 4	James Byrne
2009	Formby Golf Club	Matteo Manassero	Italy	4 & 3	Sam Hutsby
2008	Turnberry	Reinier Saxton	Netherlands	3 & 2	Tommy Fleetwood
2007	Royal Lytham & St. Annes Golf Club	Drew Weaver	United States	2 & 1	Tim Stewart
2006	Royal St. George's Golf Club	Julien Guerrier	France	4 & 3	Adam Gee
2005	Royal Birkdale Golf Club	Brian McElhinney	Ireland	5 & 4	John Gallagher
2004	St. Andrews Links	Stuart Wilson	Scotland	4 & 3	Lee Corfield
2003	Royal Troon Golf Club	Gary Wolstenholme	England	6 & 5	Raphael De Sousa
2002	Royal Porthcawl Golf Club	Alejandro Larrazabal	Spain	1 up	Martin Sell
2001	Prestwick Golf Club	Michael Hoey	Northern Ireland	1 up	Ian Campbell
2000	Royal Liverpool Golf Club	Mikko Ilonen	Finland	2 & 1	Christian Reimbold
1999	Royal County Down Golf Club	Graeme Storm	England	7 & 6	Aran Wainwright
1998	Muirfield	Sergio García	Spain	7 & 6	Craig Williams
1997	Royal St. George's Golf Club	Craig Watson	Scotland	3 & 2	Trevor Immelman
1996	Turnberry	Warren Bladon	England	1 up	Roger Beames
1995	Royal Liverpool Golf Club	Gordon Sherry	Scotland	7 & 6	Michael Reynard
1994	Nairn Golf Club	Lee James	England	2 & 1	Gordon Sherry
1993	Royal Portrush Golf Club	Iain Pyman	England	37 holes	Paul Page
1992	Carnoustie Golf Links	Stephen Dundas	Scotland	7 & 6	Bradley Dredge
1991	Ganton Golf Club	Gary Wolstenholme	England	8 & 6	Bob May
1990	Muirfield	Rolf Muntz	Netherlands	7 & 6	Michael Macara
1989	Royal Birkdale Golf Club	Stephen Dodd	Wales	5 & 3	Craig Cassells
1988	Royal Porthcawl Golf Club	Christian Hardin	Sweden	1 up	Ben Fouchee
1987	Prestwick Golf Club	Paul Mayo	Wales	3 & 1	Peter McEvoy
1986	Royal Lytham & St. Annes Golf Club	David Curry	England	11 & 9	Geoff Birtwell
1985	Royal Dornoch Golf Club	Garth McGimpsey	Northern Ireland	8 & 7	Graham Homewood
1984	Formby Golf Club	José María Olazábal	Spain	5 & 4	Colin Montgomerie
1983	Turnberry	Philip Parkin	Wales	5 & 4	Jim Holtgrieve
1982	Royal Cinque Ports Golf Club	Martin Thompson	England	4 & 3	Andrew Stubbs
1981	St. Andrews Links	Phillipe Ploujoux	France	4 & 2	Joel Hirsch
1980	Royal Porthcawl Golf Club	Duncan Evans	Wales	4 & 3	David Suddards
1979	Hillside Golf Club	Jay Sigel	United States	3 & 2	Scott Hoch
1978	Royal Troon Golf Club	Peter McEvoy	England	4 & 3	Paul McKellar
1977	Ganton Golf Club	Peter McEvoy	England	5 & 4	H.M. Campbell
1976	St. Andrews Links	Dick Siderowf	United States	37 holes	J.C. Davies
1975	Royal Liverpool Golf Club	Vinny Giles	United States	8 & 7	Mark James
1974	Muirfield	Trevor Homer	England	2 up	Jim Gabrielsen
1973	Royal Porthcawl Golf Club	Dick Siderowf	United States	5 & 3	Peter H. Moody
1972	Royal St. George's Golf Club	Trevor Homer	England	4 & 3	Alan Thirlwell
1971	Carnoustie Golf Links	Steve Melnyk	United States	3 & 2	Jim Simons
1970	Royal County Down Golf Club	Michael Bonallack	England	8 & 7	Bill Hyndman
1969	Royal Liverpool Golf Club	Michael Bonallack	England	3 & 2	Bill Hyndman
