Year	Winner	Score	Runner(s)-up	Course	Location
1954	Betty Jameson	6 & 5	Louise Suggs	Glen Flora CC	Waukegan, Illinois
1953	Louise Suggs	6 & 5	Patty Berg	Capital City Club	Atlanta, Georgia
1952	Betsy Rawls	1 up	Betty Jameson	Skokie CC	Chicago, Illinois
1951	Patty Berg	2 up	Pat O'Sullivan (a)	Whitemarsh Valley CC	Philadelphia, Pennsylvania
1950	Babe Zaharias	5 & 3	Peggy Kirk	Cherry Hills CC	Denver, Colorado
1949	Louise Suggs	5 & 4	Betty Jameson	Oklahoma City CC	Oklahoma City, Oklahoma
1948	Patty Berg	37 holes	Babe Zaharias	Skycrest CC	Chicago, Illinois
1947	Louise Suggs (a)	4 & 2	Dorothy Kirby (a)	Capital City Club	Atlanta, Georgia
1946	Louise Suggs (a)	2 up	Patty Berg	Wakonda Club	Des Moines, Iowa
1945	Babe Zaharias (a)	4 & 2	Dorothy Germain (a)	Highland G&CC	Indianapolis, Indiana
1944	Babe Zaharias (a)	7 & 5	Dorothy Germain (a)	Park Ridge	Chicago, Illinois
1943	Patty Berg	1 up	Dorothy Kirby (a)	Glen Oak CC	Glen Ellyn, Illinois
1942	Betty Jameson (a)	9 & 7	Phyllis Otto	Elmhurst CC	Chicago, Illinois
1941	Patty Berg	7 & 6	Mrs. Burt Weil	Cincinnati CC	Cincinnati, Ohio
1940	Babe Zaharias (a)	5 & 4	Mrs. Russell Mann	Blue Mound G&CC	Wauwatosa, Wisconsin
1939	Helen Dettweiler	4 & 3	Bea Barrett (a)	Westwood CC	St. Louis, Missouri
1938	Bea Barrett (a)	6 & 4	Helen Hofmann	Broadmoor GC	Colorado Springs, Colorado
1937	Helen Hicks	6 & 5	Bea Barrett (a)	Beverly CC	Chicago, Illinois
1936	Opal Hill (a)	3 & 2	Mrs. Charles Dennehy (a)	Topeka CC	Topeka, Kansas
1935	Opal Hill (a)	9 & 7	Mrs. S.L. Reinhart (a)	Sunset Ridge CC	Chicago, Illinois
1934	Marian McDougall (a)	9 & 7	Mrs. Guy Riegel (a)	Portland G&CC	Portland, Oregon
1933	June Beebe (a)	3 & 2	Jane Weiller (a)	Olympia Fields CC	Olympia Fields, Illinois
1932	Jane Weiller (a)	5 & 4	June Beebe (a)	Ozaukee CC	Mequon, Wisconsin
1931	June Beebe (a)	3 & 2	Mrs. Melvin Jones (a)	Midlothian CC	Midlothian, Illinois
1930	Mrs. Lee Mida (a)	6 & 5	June Beebe (a)	Acacia CC	Indian Head Park, Illinois
