Couple	Style	Music	Choreographer	Results
Rhiannon Villareal Joel De Carteret "JD"	Hip-hop	"Kiss, Kiss"— Chris Brown	Manuela Oliveira	Safe
Courtney Walter Hilton Denis	Jazz Lyrical	" Exit Music (For a Film) "— Radiohead	Kelly Aykers	Walter Eliminated
Vanessa Sew Hoy Henry Byalikov	Salsa	" Don't Hold Back "— The Potbelleez	Luda and Oliver	Bottom 3
Camilla Jakimowicz Sermsah Bin Saad	Musical Theatre	" Big Spender "— Shirley Bassey	Adam Williams	Safe
Jemma Armstrong Rhys Bobridge	Waltz	" A New Day Has Come " from Celine Dion	Jason Gilkison	Safe
Laura Brougham Anthony Ikin	Contemporary Lyrical	" Nobody Knows "— Pink	Juliette "Jet" Verne	Safe
Stephanie Golman Marko Panzic	Jive	" Untouched "— The Veronicas	Jason Gilkison	Safe
Kate Wormald Khaly Ngeth	Contemporary Jazz	" If You Keep Losing Sleep "— Silverchair	Sally Clark	Ngeth Eliminated
Demi Sorono Jack Chambers	Boogaloo	" Flashlight "— Parliament	Nacho Pop	Safe
Kassandra "Kassy" Lee Graeme Isaako	Lyrical Hip Hop	" Bleeding Love "— Leona Lewis	Yannus Sufandi	Safe
