Pick #	Player	Position	Nationality	NHL team	College/junior/club team
183	Alex Haidy	Right Wing	Canada	Pittsburgh Penguins	Sault Ste. Marie Greyhounds (OHL)
184	Greg Rolston	Right Wing	United States	Toronto Maple Leafs	Powers High School (USHS-MI)
185	Aleksandr Chernykh	Centre	Soviet Union	New Jersey Devils	Voskresensk (USSR)
186	Stu Grimson	Left Wing	Canada	Detroit Red Wings	Regina Pats (WHL)
187	Thomas Ahlen	Defence	Sweden	Los Angeles Kings	Skellefteå AIK (Sweden)
188	Brian Ross	Defence	Canada	Toronto Maple Leafs	Kitchener Rangers (OHL)
189	Kory Wright	Right Wing	United States	Winnipeg Jets	Dubuque Fighting Saints (USHL)
190	Roger Grillo	Defence	United States	Vancouver Canucks	University of Maine (ECAC)
191	Tom Pratt	Defence	United States	Calgary Flames	Kimball Union Academy (USHS-NH)
192	Scott Shaunessy	Defence	United States	Quebec Nordiques	St. John's School (USHS-MA)
193	Reine Karlsson	Left Wing	Sweden	Hartford Whalers	Sodertalje (Sweden)
194	Mark Ferner	Defence	Canada	Buffalo Sabres	Kamloops Blazers (WHL)
195	Yves Beaudoin	Defence	Canada	Washington Capitals	Shawinigan Cataractes (QMJHL)
196	Milos Riha	Left Wing	Czechoslovakia	Minnesota North Stars	Vitkovice (Czechoslovakia)
197	Dave Shellington	Left Wing	Canada	New York Islanders	Cornwall Royals (OHL)
198	Thomas Rundqvist	Left Wing	Sweden	Montreal Canadiens	Karlstad (Sweden)
199	Dominik Hasek	Goaltender	Czechoslovakia	Chicago Black Hawks	Pardubice (Czechoslovakia)
200	Warren Yadlowski	Centre	Canada	Edmonton Oilers	Calgary Wranglers (WHL)
201	Bill McCormack	Centre	United States	Philadelphia Flyers	Westminster School (USHS-CT)
202	Paul Fitzsimmons	Defence	United States	Boston Bruins	Northeastern University (ECAC)
