Rider	Manufacturer	Laps	Time/Retired	Grid
Chris Vermeulen	Suzuki	28	50:58.713	12
Marco Melandri	Honda	28	+12.599	9
Casey Stoner	Ducati	28	+27.347	2
Dani Pedrosa	Honda	28	+37.328	10
Alex Hofmann	Ducati	28	+49.166	17
Valentino Rossi	Yamaha	28	+53.563	4
John Hopkins	Suzuki	28	+1:01.073	5
Loris Capirossi	Ducati	28	+1:21.241	15
Makoto Tamada	Yamaha	27	+1 Lap	16
Sylvain Guintoli	Yamaha	27	+1 Lap	11
Fonsi Nieto	Kawasaki	27	+1 Lap	19
Colin Edwards	Yamaha	25	+3 Laps	1
Alex Barros	Ducati	27	Accident	13
Kenny Roberts, Jr.	KR212V	26	Retirement	18
Nicky Hayden	Honda	25	Accident	7
Shinya Nakano	Honda	20	Accident	20
Randy de Puniet	Kawasaki	8	Accident	8
Toni Elías	Honda	7	Accident	6
Carlos Checa	Honda	6	Accident	3
