Date	Opponent	Score	Loss	Record
June 1	@ Mariners	7–2	Jefferson (0–5)	12–39
June 2	@ Mariners	6–2	Jones (0–6)	13–39
June 3	@ Mariners	10–5	Lemongello (1–7)	13–40
June 4	@ Angels	4–2	Huffman (2–6)	13–41
June 5	@ Angels	3–0	Underwood (0–8)	13–42
June 6	@ Angels	5–4	LaRoche (2–5)	14–42
June 8	@ Athletics	2–1	Heaverlo (2–6)	15–42
June 9	@ Athletics	5–0	Keough (0–8)	16–42
June 10	@ Athletics	12–1	Underwood (0–9)	16–43
June 11	Mariners	2–0	Bannister (3–6)	17–43
June 12	Mariners	5–1	Jefferson (1–6)	17–44
June 13	Angels	9–8	LaRoche (2–6)	18–44
June 13	Angels	10–2	Willis (0–3)	18–45
June 14	Angels	10–2	Huffman (3–7)	18–46
June 15	Athletics	6–0	Hamilton (2–1)	19–46
June 16	Athletics	3–2	McCatty (4–2)	20–46
June 17	Athletics	10–9	Heaverlo (2–7)	21–46
June 19	@ Yankees	5–4	John (10–3)	22–46
June 20	@ Yankees	2–1	Underwood (1–10)	22–47
June 20	@ Yankees	3–2	Burris (1–3)	23–47
June 21	@ Yankees	3–1	Lemanczyk (7–4)	23–48
June 22	@ Red Sox	12–1	Jefferson (1–7)	23–49
June 23	@ Red Sox	4–3 (11)	Buskey (3–2)	23–50
June 24	@ Red Sox	8–4	Huffman (4–8)	23–51
June 25	Yankees	3–1	Clay (1–3)	24–51
June 26	Yankees	11–2	Lemanczyk (7–5)	24–52
June 28	Yankees	5–3 (10)	Lemongello (1–8)	24–53
June 29	@ Orioles	6–1	Stieb (0–1)	24–54
June 29	@ Orioles	4–0	Huffman (4–9)	24–55
June 30	@ Orioles	2–0	Underwood (2–11)	24–56
