Rank	Archer	1st Half	2nd Half	Score
1	Park Sung-Hyun ( KOR )	336	337	673
2	Yun Ok-Hee ( KOR )	336	331	667
3	Joo Hyun-Jung ( KOR )	339	325	664
4	Khatuna Narimanidze ( GEO )	330	333	663
5	Kwon Un Sil ( PRK )	324	332	656
6	Yuan Shu Chi ( TPE )	334	318	652
7	Alison Williamson ( GBR )	325	326	651
8	Naomi Folkard ( GBR )	329	322	651
9	Nami Hayakawa ( JPN )	326	323	649
10	Ana Rendón ( COL )	319	328	647
11	Natalia Erdyniyeva ( RUS )	324	323	647
12	Aida Román ( MEX )	319	327	646
13	Małgorzata Ćwienczek ( POL )	323	322	645
14	Bérengère Schuh ( FRA )	323	322	645
15	Chen Ling ( CHN )	330	315	645
16	Zekiye Keskin Satir ( TUR )	317	327	644
17	Kristine Esebua ( GEO )	332	311	643
18	Natalia Sánchez ( COL )	328	315	643
19	Justyna Mospinek ( POL )	321	322	643
20	Mariana Avitia ( MEX )	328	313	641
21	Viktoriya Koval ( UKR )	318	323	641
22	Laishram Bombaya Devi ( IND )	319	318	637
23	Miroslava Dagbaeva ( RUS )	318	319	637
24	Jennifer Nichols ( USA )	320	317	637
25	Guo Dan ( CHN )	322	314	636
26	Khatuna Lorig ( USA )	319	316	635
27	Zhang Juanjuan ( CHN )	323	312	635
28	Jane Waller ( AUS )	312	322	634
29	Wu Hui Ju ( TPE )	320	314	634
30	Natalia Valeeva ( ITA )	316	318	634
31	Dola Banerjee ( IND )	319	314	633
32	Sophie Dodemont ( FRA )	313	319	632
33	Anja Hitzler ( GER )	318	311	629
34	Marie-Pier Beaudet ( CAN )	319	309	628
35	Anastassiya Bannova ( KAZ )	320	308	628
36	Leidys Brito ( VEN )	311	317	628
37	Pranitha Vardhineni ( IND )	321	306	627
38	Tetyana Berezhna ( UKR )	314	313	627
39	Virginie Arnold ( FRA )	310	316	626
40	Charlotte Burgess ( GBR )	312	311	623
41	Ika Yuliana Rochmawati ( INA )	313	308	621
42	Rina Dewi Puspitasari ( INA )	317	303	620
43	Iwona Marcinkiewicz ( POL )	308	312	620
44	Barbora Horáčková ( CZE )	313	307	620
45	Son Hye Yong ( PRK )	308	310	618
46	Sayoko Kitabatake ( JPN )	317	299	616
47	Katsiaryna Muliuk ( BLR )	311	305	616
48	Yuki Hayashi ( JPN )	306	310	616
49	Elpida Romantzi ( GRE )	309	305	614
50	Evangelia Psarra ( GRE )	308	305	613
51	Pia Carmen Lionetti ( ITA )	310	303	613
52	Louise Laursen ( DEN )	295	310	605
53	Veronique D'Unienville ( MRI )	304	301	605
54	Nathalie Dielen ( SUI )	289	312	601
55	Elena Tonetta ( ITA )	300	295	595
56	Elena Mousikou ( CYP )	293	296	589
57	Soha Abed Elaal ( EGY )	289	298	587
58	Wei Pi-Hsiu ( TPE )	291	294	585
59	Lexie Feeney ( AUS )	294	286	580
60	Najmeh Abtin ( IRI )	278	290	568
61	Dorji Dema ( BHU )	283	284	567
62	Sigrid Romero ( COL )	279	272	551
63	Albina Kamaletdinova ( TJK )	294	253	547
64	Khadija Abbouda ( MAR )	270	269	539
