Chapter	University	City	State	Conference	Founding Date	Status
Α	University of Texas	Austin	Texas	Big 12	1985	Active
Β	Texas Christian University	Fort Worth	Texas	Big 12	1989	Active
Γ	Texas A & M University	College Station	Texas	SEC	1994	Active
Δ	Stephen F. Austin University	Nacogdoches	Texas	Southland	1995	Inactive
Ε	Houston Baptist University	Houston	Texas	Southland	1997	Active
Ζ	Texas State University	San Marcos	Texas	Sun Belt	1997	Active
Η	Texas Tech University	Lubbock	Texas	Big 12	1998	Active
Θ	University of North Texas	Denton	Texas	Conference USA	1999	Active
Ι	Baylor University	Waco	Texas	Big 12	2000	Active
Κ	University of Oklahoma	Norman	Oklahoma	Big 12	2000	Active
Λ	Sam Houston State University	Huntsville	Texas	Southland	2001	Inactive
Μ	Southern Methodist University	Dallas	Texas	American	2003	Active
Ν	Vanderbilt University	Nashville	Tennessee	SEC	2003	Active
Ξ	University of Arkansas	Fayetteville	Arkansas	SEC	2004	Active
Ο	Mississippi State University	Starkville	Mississippi	SEC	2005	Active
Π	University of Georgia	Athens	Georgia	SEC	2005	Active
Ρ	Oklahoma State University	Stillwater	Oklahoma	Big 12	2005	Active
Σ	University of Missouri	Columbia	Missouri	SEC	2006	Active
Τ	University of Southern Mississippi	Hattiesburg	Mississippi	Conference USA	2007	Inactive
Υ	University of Florida	Gainesville	Florida	SEC	2007	Active
Φ	University of Colorado	Boulder	Colorado	Pac-12	2007	Inactive
Χ	University of Mississippi	Oxford	Mississippi	SEC	2007	Active
ψ	Louisiana State University	Baton Rouge	Louisiana	SEC	2008	Active
Ω	Auburn University	Auburn	Alabama	SEC	2008	Active
ΑΑ	NC State University	Raleigh	North Carolina	ACC	2009	Active
ΑΒ	University of Kansas	Lawrence	Kansas	Big 12	2009	Active
ΑΓ	University of Central Arkansas	Conway	Arkansas	Southland	2010	Active
ΑΔ	Southern Arkansas University	Magnolia	Arkansas	Great American	2010	Active
ΑE	University of Central Oklahoma	Edmond	Oklahoma	MIAA	2011	Active
AZ	University of Tennessee	Knoxville	Tennessee	SEC	2012	Active
ΑH	Clemson University	Clemson	South Carolina	ACC	2012	Active
ΑΘ	Yale University	New Haven	Connecticut	Ivy	2012	Active
ΑI	University of Alabama	Tuscaloosa	Alabama	SEC	2013	Active
