Week	Date	Opponent	Result	Game site	Attendance
1	1984-09-02	at Indianapolis Colts	W 23–14	Hoosier Dome	61,148
2	1984-09-06	Pittsburgh Steelers	L 23–17	The Meadowlands	70,564
3	1984-09-16	Cincinnati Bengals	W 43–23	The Meadowlands	64,193
4	1984-09-23	at Buffalo Bills	W 28–26	Rich Stadium	48,330
5	1984-09-30	New England Patriots	L 28–21	The Meadowlands	68,978
6	1984-10-07	at Kansas City Chiefs	W 17–16	Arrowhead Stadium	51,843
7	1984-10-14	at Cleveland Browns	W 24–20	Cleveland Municipal Stadium	55,673
8	1984-10-21	Kansas City Chiefs	W 28–7	The Meadowlands	66,782
9	1984-10-28	at New England Patriots	L 30–20	Sullivan Stadium	60,513
10	1984-11-04	Miami Dolphins	L 31–17	The Meadowlands	72,655
11	1984-11-11	Indianapolis Colts	L 9–5	The Meadowlands	51,066
12	1984-11-18	at Houston Oilers	L 31–20	The Astrodome	40,141
13	1984-11-26	at Miami Dolphins	L 28–17	Miami Orange Bowl	74,884
14	1984-12-02	New York Giants	L 20–10	The Meadowlands	74,975
15	1984-12-08	Buffalo Bills	W 21–17	The Meadowlands	45,378
16	1984-12-16	at Tampa Bay Buccaneers	L 41–21	Tampa Stadium	43,817
