Week	Date	Opponent	Result	Venue	Attendance	Record
1	September 6, 1968	at San Diego Chargers	29–13 L	San Diego Stadium	33,687	0–1
2	September 15, 1968	vs. Denver Broncos	24–10 W	Nippert Stadium	25,049	1–1
3	September 22, 1968	vs. Buffalo Bills	34–23 W	Nippert Stadium	24,045	2–1
4	September 29, 1968	vs. San Diego Chargers	31–10 L	Nippert Stadium	28,642	2–2
5	October 6, 1968	at Denver Broncos	10–7 L	Mile High Stadium	41,257	2–3
6	October 13, 1968	at Kansas City Chiefs	13–3 L	Municipal Stadium	47,096	2–4
7	October 20, 1968	vs. Miami Dolphins	24–22 L	Nippert Stadium	25,942	2–5
8	October 27, 1968	at Oakland Raiders	31–10 L	Oakland Coliseum	37,083	2–6
9	November 3, 1968	vs. Houston Oilers	27–17 L	Nippert Stadium	24,012	2–7
10	November 10, 1968	vs. Kansas City Chiefs	16–9 L	Nippert Stadium	25,537	2–8
11	November 17, 1968	at Miami Dolphins	38–21 W	Miami Orange Bowl	31,747	3–8
12	November 24, 1968	vs. Oakland Raiders	34–0 L	Nippert Stadium	27,116	3–9
13	December 1, 1968	at Boston Patriots	33–14 L	Fenway Park	17,796	3–10
14	December 8, 1968	at New York Jets	27–14 L	Shea Stadium	61,111	3–11
