Skip (Club)	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends
Joe Scharf (Fort William)	9	2	72	50	40	34	24	11
Brad Jacobs (Soo C.A)	9	2	71	36	40	29	22	12
Mike Jakubo (Copper Cliff)	7	4	65	52	42	38	18	12
Mike Assad (Fort William)	7	4	80	62	52	45	9	15
Mike Pozihun (Port Arthur)	7	4	72	53	49	38	13	14
John Salo (Geraldton)	6	5	57	65	45	39	15	16
Bryan Burgess (Fort William)	5	6	68	73	42	46	18	7
Jeff Currie (Port Arthur)	5	6	64	68	43	47	15	11
Robbie Gordon (Sudbury)	4	7	59	65	42	46	16	10
Tim Nordin (Stratton)	3	8	41	75	30	52	17	10
David MacInnes (Englehart)	2	9	51	72	35	40	16	8
