Game	January	Opponent	Score	Record
38	2	@ Quebec Nordiques	3 - 3	17-15-6
39	4	Philadelphia Flyers	5 - 3	17-16-6
40	6	Atlanta Flames	5 - 5	17-16-7
41	7	Hartford Whalers	5 - 2	18-16-7
42	9	@ Detroit Red Wings	4 - 0	18-17-7
43	11	@ Edmonton Oilers	6 - 2	19-17-7
44	12	@ Winnipeg Jets	3 - 0	20-17-7
45	14	Colorado Rockies	6 - 6	20-17-8
46	16	Winnipeg Jets	4 - 1	21-17-8
47	19	@ Boston Bruins	6 - 3	21-18-8
48	20	Chicago Black Hawks	2 - 1	21-19-8
49	22	@ Los Angeles Kings	5 - 4	22-19-8
50	23	@ Vancouver Canucks	6 - 4	23-19-8
51	27	@ Colorado Rockies	3 - 3	23-19-9
52	31	@ Buffalo Sabres	6 - 2	23-20-9
