Shirt No	Nationality	Player	Birth Date	Height	Position
1	Russia	Aleksey Ostapenko	May 26, 1986 (age27)	207	Middle blocker
3	Bulgaria	Teodor Salparov	August 16, 1982 (age31)	182	Libero
4	Russia	Roman Bragin	April 17, 1987 (age26)	187	Libero
5	Russia	Sergey Grankin	January 22, 1987 (age27)	193	Setter
6	Russia	Yevgeni Sivozhelez	August 8, 1986 (age27)	196	Outside hitter
7	Russia	Maksim Botin	July 14, 1983 (age30)	194	Outside hitter
8	Russia	Semen Poltavskiy	February 8, 1981 (age32)	205	Opposite hitter
9	Russia	Yury Berezhko	January 27, 1984 (age30)	198	Outside hitter
10	Russia	Roman Yakovlev	August 12, 1976 (age37)	202	Opposite hitter
12	Russia	Andrei Zubkov	July 13, 1981 (age32)	201	Setter
13	Russia	Aleksei Samoylenko	September 23, 1985 (age28)	207	Middle blocker
14	Russia	Dmitri Scherbinin	September 10, 1989 (age24)	205	Middle blocker
17	Brazil	Dante Amaral	September 30, 1980 (age33)	201	Outside hitter
