Name	Birth date	Age as of 1 February 2014	Country of birth	Place of residence
Grace Jones	7 December 1899	114years, 56days	England	Bermondsey , England
Ethel Lang	27 May 1900	113years, 250days	England	Barnsley , England
Dorothy Baldwin	8 February 1902	111years, 358days	England	Nottingham , England
Dorothy Peel	28 September 1902	111years, 126days	England	Bridlington , England
Florence Pittaway	15 October 1902	111years, 109days	England	Birmingham , England
Margaret Sandiford	23 March 1903	110years, 315days	England	Lydiate , England
Ralph Tarrant	7 July 1903	110years, 209days	England	Sheffield , England
Gwen Phillips	17 July 1903	110years, 199days	Wales	Newport , Wales
Hilda Jackson	19 August 1903	110years, 166days	England	Oldham , England
Ivy Clapham	6 September 1903	110years, 148days	England	Hull , England
Alma Rayward	3 October 1903	110years, 121days	England	Hull , England
Winifred Warhurst	22 October 1903	110years, 102days	England	Wirral , England
