Member	Party	Electorate	State	Term in office
Tony Abbott [5 ]	Liberal	Warringah	NSW	1994–present
Hon Dick Adams	Labor	Lyons	Tas	1993–2013
Ken Aldred	Liberal	Deakin	Vic	1975–1980, 1983–1996
John Anderson	National	Gwydir	NSW	1989–2007
Neil Andrew	Liberal	Wakefield	SA	1983–2004
Kevin Andrews	Liberal	Menzies	Vic	1991–present
Rod Atkinson	Liberal	Isaacs	Vic	1990–1996
Hon Peter Baldwin	Labor	Sydney	NSW	1983–1998
Julian Beale	Liberal	Bruce	Vic	1984–1996
Hon Kim Beazley	Labor	Swan	WA	1980–2007
Hon David Beddall	Labor	Rankin	Qld	1983–1998
Arch Bevis	Labor	Brisbane	Qld	1990–2010
Hon Gordon Bilney	Labor	Kingston	SA	1983–1996
Bronwyn Bishop [4 ]	Liberal	Mackellar	NSW	1994–present
Hon Dr Neal Blewett [3 ]	Labor	Bonython	SA	1977–1994
John Bradford	Liberal	McPherson	Qld	1990–1998
Ray Braithwaite	National	Dawson	Qld	1975–1996
Hon Laurie Brereton	Labor	Kingsford-Smith	NSW	1990–2004
Hon Bob Brown	Labor	Charlton	NSW	1980–1998
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Eoin Cameron	Liberal	Stirling	WA	1993–1998
Graeme Campbell	Labor	Kalgoorlie	WA	1980–1998
Hon Jim Carlton [4 ]	Liberal	Mackellar	NSW	1977–1994
Bob Charles	Liberal	La Trobe	Vic	1990–2004
Bob Chynoweth	Labor	Dunkley	Vic	1984–1990, 1993–1996
Phil Cleary	Independent	Wills	Vic	1992, 1993–1996
Peter Cleeland	Labor	McEwen	Vic	1984–1990, 1993–1996
Michael Cobb	National	Parkes	NSW	1984–1998
David Connolly	Liberal	Bradfield	NSW	1974–1996
Peter Costello	Liberal	Higgins	Vic	1990–2009
Mary Crawford	Labor	Forde	Qld	1987–1996
Hon Simon Crean	Labor	Hotham	Vic	1990–2013
