Round	Player	Position	Nationality	College/Junior/Club Team
1	Pat Falloon	Right Wing	Canada	Spokane Chiefs (WHL)
2	Ray Whitney	Left Wing	Canada	Spokane Chiefs (WHL)
2	Sandis Ozolinsh	Defense	Latvia	Dynamo Riga (Russia)
3	Dody Wood	Left Wing	Canada	Seattle Thunderbirds (WHL)
4	Kerry Toporowski	Defense	Canada	Spokane Chiefs (WHL)
5	Dan Ryder	Goalie	Canada	Sudbury Wolves (OHL)
6	Fredrik Nilsson	Left Wing	Sweden	Vasteras IK (SEL)
7	Jaroslav Otevrel	Left Wing	Czechoslovakia	Zlin ZPS AC (Czech)
8	Dean Grillo	Center	United States	Waterloo Black Hawks (USHL)
9	Corwin Saurdiff	Goalie	United States	Waterloo Black Hawks (USHL)
10	Dale Craigwell	Center	Canada	Oshawa Generals (OHL)
11	Aaron Kriss	Defense	United States	UMass Lowell (NCAA)
12	Mikhail Kravets	Right Wing	Russia	Leningrad SKA (Russia)
