No.	#	Title	Directed by	Story by	Teleplay by	Original air date	U.S. viewers (millions)
11	1	"Accentuate the Positive"	Anthony Hemingway	Eric Overmyer & Anthony Bourdain	Eric Overmyer	April24,2011	0.61
12	2	"Everything I Do Gonh Be Funky"	Tim Robbins	David Simon	David Simon	May1,2011	0.56
13	3	"On Your Way Down"	Simon Cellan Jones	James Yoshimura	James Yoshimura	May8,2011	0.52
14	4	"Santa Claus, Do You Ever Get the Blues? "	Alex Zakrzewski	Eric Overmyer & Lolis Eric Elie	Lolis Eric Elie	May15,2011	0.56
15	5	"Slip Away"	Rob Bailey	David Simon & Mari Kornhauser	Mari Kornhauser	May22,2011	0.59
16	6	"Feels Like Rain"	Roxann Dawson	Eric Overmyer & Tom Piazza	Tom Piazza	May29,2011	0.53
17	7	"Carnival Time"	Brad Anderson	David Simon & Eric Overmyer	David Simon & Eric Overmyer	June5,2011	0.55
18	8	"Can I Change My Mind"	Ernest Dickerson	Eric Overmyer & James Yoshimura	James Yoshimura	June12,2011	0.44
19	9	"What Is New Orleans?"	Adam Davidson	David Simon & George Pelecanos	George Pelecanos	June19,2011	0.57
20	10	"That's What Lovers Do"	Agnieszka Holland	Eric Overmyer	Eric Overmyer	June26,2011	0.72
