Year	Dates	Champion	Country	Score	Tournament location	Purse ($)	Winner's share ($)
2013	Jul 12–14	Wei-Ling Hsu	Taiwan	202 (–11)	Capital Hills at Albany	100,000	15,000
2012	Aug 3–5	Jaclyn Sweeney	United States	203 (–10)	Capital Hills at Albany	100,000	15,000
2011	Sep 9–11	Sydnee Michaels	United States	202 (–8)	Capital Hills at Albany	120,000	16,800
2010 *	Sep 3–5	Cindy LaCrosse	United States	208 (–5)	Capital Hills at Albany	120,000	16,800
2009	Sep 4–6	Song Yi Choi	South Korea	205 (–8)	Capital Hills at Albany	110,000	15,400
2008	Sep 5–7	Sarah-Jane Kenyon	Australia	204 (–9)	Capital Hills at Albany	100,000	14,000
2007	Sep 7–9	Onnarin Sattayabanphot	Thailand	210 (–3)	Capital Hills at Albany	100,000	14,000
2006	Sep 8–10	Ji Min Jeong	South Korea	206 (–7)	Capital Hills at Albany	85,000	11,900
2005	Jul 15–17	Seon-Hwa Lee	South Korea	199 (–14)	Capital Hills at Albany	70,000	9,800
2004	Aug 13–15	Nicole Perrot	Paraguay	203 (–10)	Capital Hills at Albany	70,000	9,800
2003*	Jul 17–20	Lindsey Wright	Australia	205 (–8)	Orchard Creek Golf Club	60,000	8,400
2002*	Jul 5–7	Mariam Nagl	Brazil	210 (–3)	Orchard Creek Golf Club	60,000	8,400
2001	Jul 6–8	Angela Buzminski	Canada	208 (–8)	Western Turnpike Golf Course	60,000	8,400
2000*	Jul 7–9	Dodie Mazzuca	United States	218 (+2)	Western Turnpike Golf Course	50,000	7,000
