School Year	Volleyball	Cross Country	Soccer	Tennis	Golf
2003-04	Orrville	Ashland	Lexington	Lexington	began in 2013
2004-05	Orrville, Madison, Lexington, West Holmes	Ashland	Ashland	Lexington	n/a
2005-06	Wooster	Lexington	Ashland	Lexington	n/a
2006-07	Wooster	Ashland	Ashland	Lexington	n/a
2007-08	Wooster	Lexington	Ashland	Lexington	n/a
2008-09	Madison	Wooster	Ashland	Lexington	n/a
2009-10	Lexington, Madison, Orrville	Lexington	Lexington, Wooster	Lexington	n/a
2010-11	Madison	Lexington	Clear Fork	Lexington	n/a
2011-12	Madison	Lexington	Wooster	Lexington	n/a
2012-13	Lexington	Lexington	Ashland	Lexington	n/a
2013-14	Madison, Orrville	Lexington	Clear Fork	Lexington	Ashland
