Rider	Years active	Races	Wins	2nd pl.	3rd pl.	Titles
Luca Cadalora	2000	2	0	0	0	0
Cristian Caliumi	2002	2	0	0	0	0
Leon Camier	2009-Present	8	0	0	0	0
Berto Camlek	2001,2004,2006	8	0	0	0	0
Matteo Campana	2001	4	0	0	0	0
Malcom Campbell	1988-92,1998	37	0	3	2	0
Stefano Caracchi	1990	24	0	0	0	0
José Luis Cardoso	2005	20	0	0	0	0
Carlos Cardús	1994	2	0	0	0	0
Alan Carter	1994	2	0	0	0	0
Paolo Casoli	1994-1996	48	0	1	1	0
Stéphane Chambon	1996, 2001	33	0	0	0	0
Doug Chandler	1989-90, 1996-98, 2001-02	14	0	2	3	0
Carlos Checa	2008-Present	56	2	5	4	0
David Checa	2005, 2008-2009	50	0	0	0	0
Pierfrancesco Chili	1995-06	276	17	18	26	0
Milos Cihak	2005-09	8	0	0	0	0
Linnley Clarke	1991	5	0	1	0	0
Ivan Clementi	2002-06	116	0	0	0	0
Andre Coers	2000	2	0	0	0	0
Luca Conforti	2005, 2007, 2009	7	0	0	0	0
Craig Connel	1996-99	8	0	0	0	0
Simone Conti	2003	2	0	0	0	0
Richard Cooper	2009	2	0	0	0	0
Alessio Corradi	2005	2	0	0	0	0
Troy Corser	1992,1994-96, 1998-01, 2003-11	331	33	47	48	2
Craig Coxhell	2004	2	0	0	0	0
Simon Crafar	1990,1992-1997,2000	123	0	4	6	0
Martin Craggill	1995-1997,1999,2001	44	0	0	0	0
John Crawford	2000	2	0	0	0	0
Steve Crevier	1989,1991,1997	11	0	0	1	0
Stefano Cruciani	2004-05, 2007	8	0	0	0	0
Steven Cutting	2003	2	0	0	0	0
