Episode number Production number	Title	Sydney	Melbourne	Brisbane	Adelaide	Perth	TOTAL	WEEKLY RANK	NIGHTLY RANK
14 2-01	The Dogs of War	407,000	327,000	227,000	144,000	142,000	1,247,000	21	7
15 2-02	Fortune Favours	321,000	379,000	218,000	158,000	146,000	1,222,000	26	12
16 2-03	Takedown	345,000	318,000	252,000	156,000	196,000	1,267,000	20	7
17 2-04	Heaven Born Captains	387,000	422,000	244,000	153,000	156,000	1,362,000	18	7
18 2-05	Giving Up The Dead	361,000	352,000	217,000	162,000	169,000	1,260,000	26	9
19 2-06	Birds	389,000	332,000	237,000	161,000	168,000	1,287,000	21	6
20 2-07	Hidden Agendas	396,000	405,000	270,000	166,000	157,000	1,394,000	10	5
21 2-08	Heart of Glass	418,000	361,000	252,000	153,000	196,000	1,380,000	12	6
22 2-09	Shadow Line	427,000	461,000	252,000	163,000	194,000	1,505,000	6	4
23 2–10	Rules of Engagement	411,000	413,000	304,000	170,000	174,000	1,471,000	10	5
24 2–11	A Brilliant Career	354,000	449,000	321,000	184,000	183,000	1,491,000	8	4
25 2–12	Friends Close, Enemies Closer	415,000	426,000	277,000	169,000	203,000	1,489,000	8	3
26 2–13	Soldiers of Fortune	430,000	467,000	239,000	159,000	191,000	1,486,000	8	4
