Year	MISS EARTH	Miss Air (1st Runner-up)	Miss Water (2nd Runner-up)	Miss Fire (3rd Runner-up)
2001	Catharina Svensson	Simone Régis	Margarita Kravtsova	Daniela Stucan
2002	Džejla Glavović	Winfred Adah Omwakwe	Sladjana Bozovic	Juliana Patricia Drossou
2003	Dania Prince	Priscila Poleselo Zandoná	Marianela Zeledón Bolaños	Marta Matyjasik
2004	Priscilla Meirelles	Murielle Celimene	Stéphanie Lesage	Yanina González
2005	Alexandra Braun Waldeck	Amell Santana de Jesús	Katarzyna Borowicz	Jovana Marjanovic
2006	Hil Yesenia Hernández	Amruta Patki	Catherine Untalan	Marianne Puglia
2007	Jessica Trisko	Pooja Chitgopekar	Silvana Santaella	Ángela Gómez Durán
2008	Karla Paula Henry	Miriam Odemba	Abigail Elizalde	Tatiane Alves
2009	Larissa Ramos	Sandra Inez Seifert	Jessica Barboza	Alejandra Echevarria
2010	Nicole Faria	Viktoria Shchukina	Watsaporn Wattanakoon	Yeidy Bosques
2011	Olga Álava	Drielly Bennettone	Athena Mae Imperial	Caroline Medina
2012	Tereza Fajksová	Stephany Stefanowitz	Osmariel Villalobos	Camilla Brant
