Date	Opponent	Score	Loss	Attendance	Record
September 1	Rangers	5 - 1	Hough (11-15)	30,294	66-68
September 2	Rangers	7 - 6	Vande Berg (1-2)	30,181	67-68
September 3	Rangers	7 - 4	Russell (10-7)	33,463	68-68
September 4	Rangers	9 - 7	Williams (2-5)	34,400	69-68
September 5	@ Tigers	5 - 4 (10)	Hernández (5-4)	21,913	70-68
September 6	@ Tigers	7 - 3	Alexander (11-11)	18,299	71-68
September 7	@ Tigers	4 - 3	Cerutti (6-7)	21,614	71-69
September 9	@ Orioles	8 - 1	Bautista (6-13)	14,750	72-69
September 10	@ Orioles	7 - 4	Musselman (5-4)	21,945	72-70
September 11	@ Orioles	4 - 2	Flanagan (11-13)	19,364	72-71
September 12	Tigers	6 - 5	Henke (3-4)	31,354	72-72
September 13	Tigers	9 - 1	Power (5-7)	32,141	73-72
September 14	Tigers	3 - 2	Terrell (7-14)	32,469	74-72
September 15	Indians	3 - 0	Walker (0-1)	28,544	75-72
September 16	Indians	4 - 3 (10)	Gordon (2-4)	30,276	76-72
September 17	Indians	12 - 3	Key (10-5)	32,067	76-73
September 18	Indians	4 - 0	Nichols (1-5)	34,422	77-73
September 19	Red Sox	5 - 4	Lamp (6-5)	28,455	78-73
September 20	Red Sox	13 - 2	Musselman (6-5)	30,352	78-74
September 21	Red Sox	1 - 0	Gardner (8-5)	30,344	79-74
September 23	@ Indians	4 - 2	Swindell (17-14)	7,995	80-74
September 24	@ Indians	1 - 0	Nichols (1-6)	8,157	81-74
September 25	@ Indians	4 - 3	Ward (9-3)	7,915	81-75
September 26	@ Red Sox	11 - 1	Gardner (8-6)	33,953	82-75
September 27	@ Red Sox	15 - 9	Smithson (9-6)	34,442	83-75
September 28	@ Red Sox	1 - 0	Hurst (18-6)	34,873	84-75
September 30	Orioles	4 - 0	Ballard (8-12)	32,374	85-75
