Particle	Symbol	Makeup	Rest mass MeV / c 2	Isospin I	Spin ( Parity ) J P	Commonly decays to
Lambda	Λ 0	u d s	1 115.683(6)	0	1⁄2 +	p + + π − or n 0 + π 0
Sigma	Σ +	u u s	1189.37(0.7)	1	1⁄2 +	p + + π 0 or n 0 + π +
Sigma	Σ 0	u d s	1192.642(24)	1	1⁄2 +	Λ 0 + γ
Sigma	Σ −	d d s	1197.449(30)	1	1⁄2 +	n 0 + π −
Sigma resonance	Σ ∗+ (1385)	u u s	1382.8(4)	1	3⁄2 +	Λ + π or Σ + π
Sigma resonance	Σ ∗0 (1385)	u d s	1383.7±1.0	1	3⁄2 +	Λ + π or Σ + π
Sigma resonance	Σ ∗− (1385)	d d s	1387.2(5)	1	3⁄2 +	Λ + π or Σ + π
Xi	Ξ 0	u s s	1314.83(20)	1⁄2	1⁄2 +	Λ 0 + π 0
Xi	Ξ −	d s s	1321.31(13)	1⁄2	1⁄2 +	Λ 0 + π −
Xi resonance	Ξ ∗0 (1530)	u s s	1531.80(32)	1⁄2	3⁄2 +	Ξ + π
Xi resonance	Ξ ∗− (1530)	d s s	1535.0(6)	1⁄2	3⁄2 +	Ξ + π
Omega	Ω −	s s s	1672.45(29)	0	3⁄2 +	Λ 0 + K − or Ξ 0 + π − or Ξ − + π 0
