Lot No.	Diagram	Mark	Builder	Fleet numbers	Notes
30170	183	1	Doncaster	9200–9276	BR1 bogies
30244	183	1	Doncaster	9277–9321	BR1 bogies
30443	183	1	Gloucester	9322–9362	BR1 bogies
30698	184	1	Wolverton	9363–9380	Commonwealth bogies, fluorescent lighting
30757	185	2	Derby	9381–9416	B4 bogies
30777	180	2A	Derby	9417–9425	B4 bogies
30788	180	2A	Derby	9426–9438	B4 bogies
30798	186	2C	Derby	9439–9448	B4 bogies
30820	186	2C	Derby	9449–9478	B4 bogies
30824	187	2D	Derby	9479–9495	B4 bogies
30383	188	2E	Derby	9496–9509	B4 bogies
30861	189	2F	Derby	9510–9539	B4 bogies
