Tie no	Home team	Score	Away team	Attendance
1	Bristol City	0–0	Stoke City	7 January 1995
Replay	Stoke City	1–3	Bristol City	18 January 1995
2	Bury	2–2	Tranmere Rovers	7 January 1995
Replay	Tranmere Rovers	3–0	Bury	18 January 1995
3	Southampton	2–0	Southend United	7 January 1995
4	Reading	1–3	Oldham Athletic	7 January 1995
5	Walsall	1–1	Leeds United	7 January 1995
Replay	Leeds United	5–2	Walsall	17 January 1995
6	Gillingham	1–2	Sheffield Wednesday	7 January 1995
7	Leicester City	2–0	Enfield	7 January 1995
8	Notts County	2–2	Manchester City	8 January 1995
Replay	Manchester City	5–2	Notts County	18 January 1995
9	Nottingham Forest	2–0	Plymouth Argyle	7 January 1995
10	Grimsby Town	0–1	Norwich City	7 January 1995
11	Sunderland	1–1	Carlisle United	7 January 1995
Replay	Carlisle United	1–3	Sunderland	17 January 1995
12	Luton Town	1–1	Bristol Rovers	7 January 1995
Replay	Bristol Rovers	0–1	Luton Town	18 January 1995
13	Everton	1–0	Derby County	7 January 1995
14	Swindon Town	2–0	Marlow	7 January 1995
15	Scarborough	0–0	Watford	7 January 1995
Replay	Watford	2–0	Scarborough	17 January 1995
16	Wrexham	2–1	Ipswich Town	7 January 1995
17	Sheffield United	0–2	Manchester United	9 January 1995
18	Newcastle United	1–1	Blackburn Rovers	8 January 1995
Replay	Blackburn Rovers	1–2	Newcastle United	18 January 1995
19	Tottenham Hotspur	3–0	Altrincham	7 January 1995
20	Wycombe Wanderers	0–2	West Ham United	7 January 1995
21	Queens Park Rangers	4–0	Aylesbury United	7 January 1995
22	Barnsley	0–2	Aston Villa	7 January 1995
23	Coventry City	1–1	West Bromwich Albion	7 January 1995
Replay	West Bromwich Albion	1–2	Coventry City	18 January 1995
24	Portsmouth	3–1	Bolton Wanderers	7 January 1995
25	Millwall	0–0	Arsenal	7 January 1995
Replay	Arsenal	0–2	Millwall	18 January 1995
26	Crystal Palace	5–1	Lincoln City	8 January 1995
27	Chelsea	3–0	Charlton Athletic	7 January 1995
28	Wimbledon	1–0	Colchester United	7 January 1995
29	Mansfield Town	2–3	Wolverhampton Wanderers	7 January 1995
30	Birmingham City	0–0	Liverpool	25,236
Replay	Liverpool	1–1	Birmingham City	36,275
Liverpool won 2–0 on penalties	Liverpool won 2–0 on penalties	Liverpool won 2–0 on penalties	Liverpool won 2–0 on penalties	Liverpool won 2–0 on penalties
31	Cambridge United	2–4	Burnley	7 January 1995
32	Swansea City	1–1	Middlesbrough	7 January 1995
Replay	Middlesbrough	1–2	Swansea City	17 January 1995
