Year	Division	League	Reg. Season	Playoffs	Open Cup	Avg. Attendance
1995	2	A-League	4th	Finalist	2nd Round	2,632
1996	2	A-League	7th	Did not qualify	Did not qualify	4,315
1997	2	USISL A-League	7th, Central	Did not qualify	Did not qualify	2,406
1998	2	USISL A-League	6th, Atlantic	Did not qualify	Did not qualify	923
1999	2	USL A-League	5th, Atlantic	Did not qualify	Did not qualify	2,703
2000	2	USL A-League	6th, Atlantic	Did not qualify	Did not qualify	3,327
2001	2	USL A-League	5th, Central	Did not qualify	Did not qualify	1,094
2002	2	USL A-League	3rd, Southeast	1st Round	3rd Round	1,006
2003	2	USL A-League	5th, Southeast	Did not qualify	3rd Round	1,200
2004	2	USL A-League	5th, Eastern	Did not qualify	4th Round	1,662
2005	2	USL First Division	8th	Did not qualify	3rd Round	1,724
2006	2	USL First Division	8th	Did not qualify	3rd Round	2,298
2007	2	USL First Division	4th	Finalist	3rd Round	2,372
2008	2	USL First Division	9th	Did not qualify	2nd Round	2,281
2009	On Hiatus	On Hiatus	On Hiatus	On Hiatus	On Hiatus	On Hiatus
2010	On Hiatus	On Hiatus	On Hiatus	On Hiatus	On Hiatus	On Hiatus
2011	2	NASL	8th	Did not qualify	Denied entry	2,866
2012	2	NASL	7th	Did not qualify	3rd Round	4,505
2013	2	NASL	1st - Spring 7th - Fall	Hosting NASL Soccer Bowl	3rd Round	5,039
