Date	Opponent	Score	Loss	Record
July 1	Yankees	6 - 1 (12)	Musselman (6-2)	45-31
July 3	@ Royals	6 - 4	Clancy (8-6)	45-32
July 3	@ Royals	5 - 4	Henke (0-4)	45-33
July 4	@ Royals	9 - 1	Wells (0-2)	45-34
July 5	@ Royals	4 - 3 (10)	Eichhorn (8-4)	45-35
July 6	Rangers	6 - 4	Hough (9-4)	46-35
July 7	Rangers	6 - 2	Loynd (1-5)	47-35
July 8	Rangers	5 - 2	Witt (4-4)	48-35
July 9	Royals	7 - 1	Black (4-3)	49-35
July 10	Royals	7 - 0	Leibrandt (8-7)	50-35
July 11	Royals	2 - 1	Key (9-6)	50-36
July 12	Royals	3 - 2	Black (4-4)	51-36
July 16	@ Twins	5 - 2	Blyleven (8-7)	52-36
July 17	@ Twins	3 - 2	Eichhorn (8-5)	52-37
July 18	@ Twins	7 - 5	Niekro (5-7)	53-37
July 19	@ Twins	7 - 6	Lavelle (1-1)	53-38
July 20	@ Rangers	5 - 3	Hough (10-6)	54-38
July 21	@ Rangers	6 - 4	Musselman (7-3)	54-39
July 22	@ Rangers	5 - 3	Lavelle (1-2)	54-40
July 23	Twins	4 - 3	Frazier (5-5)	55-40
July 24	Twins	8 - 6	Reardon (5-5)	56-40
July 25	Twins	13 - 9	Musselman (7-4)	56-41
July 26	Twins	4 - 2	Blyleven (9-8)	57-41
July 27	Red Sox	10 - 8	Schiraldi (5-5)	58-41
July 28	Red Sox	5 - 4	Sambito (1-3)	59-41
July 29	Red Sox	6 - 5	Lavelle (1-3)	59-42
July 31	Indians	8 - 3	Ritter (0-1)	60-42
