Number	Builder	Type	Date	Works number
702	Baldwin Locomotive Works	4-6-4	1930	61371
801	ALCO Manchester	0-6-0	1902	26346
802	ALCO Manchester	0-6-0	1902	26347
803	Schenectady Locomotive Works	0-6-0	1900	5565
804	Manchester Locomotive Works	0-6-0	1899	1712
805	Baldwin Locomotive Works	0-6-0	1903	21454
806	Baldwin Locomotive Works	0-6-0	1903	21515
807	ALCO Brooks	0-6-0	1904	30327
808	ALCO Brooks	0-6-0	1904	30328
809	ALCO Manchester	0-6-0	1906	40580
810	ALCO Manchester	0-6-0	1906	40581
811	ALCO Manchester	0-6-0	1906	40582
820	ALCO Manchester	0-6-0	1909	46340
821	ALCO Schenectady	0-6-0	1910	49203
822	ALCO Schenectady	0-6-0	1910	49204
824	ALCO Manchester	0-6-0	1912	50737
825	ALCO Manchester	0-6-0	1912	50738
826	ALCO Manchester	0-6-0	1912	50739
827	ALCO Manchester	0-6-0	1912	50740
828	ALCO Schenectady	0-6-0	1913	52987
829	ALCO Schenectady	0-6-0	1913	52988
830	ALCO Schenectady	0-6-0	1917	57579
831	ALCO Schenectady	0-6-0	1917	57580
832	ALCO Schenectady	0-6-0	1918	59867
833	ALCO Schenectady	0-6-0	1918	59868
834	ALCO Schenectady	0-6-0	1920	62202
835	ALCO Schenectady	0-6-0	1920	62203
850	Rhode Island Locomotive Works	4-4-0	1885	1546
851	ALCO Schenectady	0-8-0	1916	56566
852	ALCO Schenectady	0-8-0	1916	56567
1001	ALCO	HH600	1936	68730
1002	ALCO	HH600	1936	68731
1003	ALCO	HH600	1936	68732
1004	ALCO	HH600	1938	69071
1005	ALCO	S-1	1941	69494
1006	ALCO	S-1	1945	73083
1007	ALCO	S-1	1949	77111
1008	ALCO	S-1	1949	77112
1051	ALCO	S-2	1941	69565
1052	ALCO	S-2	1943	70244
1053	ALCO	S-2	1946	73902
1054	ALCO	S-2	1949	76596
1055	ALCO	S-4	1950	78416
1056	ALCO	S-4	1950	78417
1057	ALCO	S-4	1950	78418
1058	ALCO	S-4	1950	78419
1061	ALCO	S-4	1950	78235
1062	ALCO	S-4	1950	78239
1063	ALCO	S-4	1950	78406
1081	EMD	GP7	1950	13533
1082	ALCO	RS-11	1956	81917
1101	ALCO	S-3	1950	78393
