Title	Year	Studio	Role	Director	Other cast members
You Came Along	1945	Paramount	Ivy Hotchkiss	John Farrow	Robert Cummings , Don DeFore
The Strange Love of Martha Ivers	1946	Hal Wallis Productions/ Paramount	Toni Marachek	Lewis Milestone	Barbara Stanwyck , Van Heflin , Kirk Douglas
Dead Reckoning	1947	Columbia	Coral "Dusty" Chandler	John Cromwell	Humphrey Bogart
Desert Fury	1947	Paramount	Paula Haller	Lewis Allen	John Hodiak , Burt Lancaster , Mary Astor
Variety Girl	1947	Paramount	Herself	George Marshall	Mary Hatcher , Olga San Juan , DeForest Kelley
I Walk Alone	1948	Paramount	Kay Lawrence	Byron Haskin	Burt Lancaster , Kirk Douglas
Pitfall	1948	United Artists	Mona Stevens	André De Toth	Dick Powell , Jane Wyatt , Raymond Burr
Too Late for Tears	1949	United Artists	Jane Palmer	Byron Haskin	Don DeFore, Dan Duryea
Easy Living	1949	RKO	Liza "Lize" Wilson	Jacques Tourneur	Victor Mature , Lucille Ball , Sonny Tufts
Paid in Full	1950	Paramount	Jane Langley	William Dieterle	Robert Cummings , Diana Lynn
Dark City	1950	Paramount	Fran Garland	William Dieterle	Charlton Heston , Viveca Lindfors
The Company She Keeps	1951	RKO	Joan Wilburn	John Cromwell	Jane Greer , Dennis O'Keefe
Two of a Kind	1951	Columbia	Brandy Kirby	Henry Levin	Edmund O'Brien , Terry Moore
Red Mountain	1951	Paramount	Chris	William Dieterle	Alan Ladd , Arthur Kennedy
The Racket	1951	RKO	Irene Hayes	John Cromwell	Robert Mitchum , Robert Ryan
Stolen Face	1952	Hammer / Lippert	Alice Brent and Lily Conover (after surgery)	Terence Fisher	Paul Henreid , André Morell
Scared Stiff	1953	Paramount	Mary Carroll	George Marshall	Dean Martin and Jerry Lewis , Carmen Miranda
Bad for Each Other	1953	Columbia	Helen Curtis	Irving Rapper	Charlton Heston, Dianne Foster
Silver Lode	1954	RKO	Rose Evans	Allan Dwan	John Payne , Dan Duryea
The Weapon	1957	Republic	Elsa Jenner	Val Guest	Steve Cochran , Herbert Marshall
Loving You	1957	Paramount	Glenda Markle	Hal Kanter	Elvis Presley , Wendell Corey
Pulp	1972	United Artists	Princess Betty Cippola	Mike Hodges	Michael Caine , Mickey Rooney
