Season #	Series #	Episode title	Original air date	Nick prod. #
1	123	" B2K "	September 21, 2002	827
3	125	" Yasmeen "	October5,2002	829
4	126	" Jeffrey Licon / Jennifer Love Hewitt "	October12,2002	830
5	127	" Justin Timberlake / Aaron Carter "	October19,2002	831
6	128	" Tom Green / Avril Lavigne "	October26,2002	832
7	129	" 3LW "	November2,2002	833
8	130	" Nick Carter / BBMak "	November9,2002	834
9	131	"Harry Bladder Special"	November16,2002	Special
10	132	" Justincase / Britney Spears "	November23,2002	835
11	133	" Nick Cannon / Monica "	January25,2003	836
12	134	" Debbie Gibson "	February1,2003	837
13	135	" Matthew Lillard / O-Town "	February8,2003	838
14	136	" Tom Green / No Secrets "	February15,2003	839
