Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
1	November 2	Orlando	W 115-111	D. Wilkins (32)	K. Willis (11)	D. Wilkins , R. Robinson (8)	Omni Coliseum 13,593	1–0
2	November 3	Indiana	W 121-120	D. Wilkins (30)	M. Malone (14)	R. Robinson (10)	Omni Coliseum 10,330	2–0
3	November 6	@ Sacramento	W 102-85	D. Wilkins (24)	K. Willis (9)	D. Wilkins (6)	ARCO Arena 17,014	3–0
4	November 9	@ Golden State	L 128-143	D. Wilkins (21)	K. Willis (10)	M. Malone (6)	Oakland-Alameda County Coliseum Arena 15,025	3–1
5	November 10	@ L.A. Clippers	W 112-94	G. Rivers (23)	K. Willis (16)	G. Rivers (9)	Los Angeles Memorial Sports Arena 13,228	4–1
6	November 13	Cleveland	L 128-143	D. Wilkins (27)	K. Willis (13)	M. Malone (6)	Omni Coliseum 15,025	4–2
7	November 14	@ Philadelphia	L 104-112	K. Willis (28)	M. Malone (13)	J. Battle (5)	The Spectrum 13,613	4–3
8	November 16	Charlotte	L 109-119	D. Wilkins (27)	K. Willis (11)	J. Battle (6)	Omni Coliseum 11,042	4–4
9	November 17	@ Detroit	L 83-91	J. Battle (16)	K. Willis (10)	A. Webb (5)	The Palace of Auburn Hills 21,454	4–5
10	November 20	@ Charlotte	L 121-128	D. Wilkins (29)	D. Wilkins (10)	D. Wilkins (7)	Charlotte Coliseum 23,901	4–6
11	November 21	@ Milwaukee	L 93-105	M. Malone (22)	K. Willis (10)	D. Wilkins (6)	Bradley Center 15,279	4–7
12	November 24	Philadelphia	L 121-124	D. Wilkins (39)	M. Malone (11)	A. Webb (14)	Omni Coliseum 15,594	4–8
13	November 27	Detroit	L 97-120	K. Willis , A. Webb (16)	K. Willis (8)	A. Webb (4)	Omni Coliseum 13,718	4–9
