Date	Time	ACC Team	Big Ten Team	Location	Television	Attendance	Winner	Challenge Leader
Tue., Nov. 27	7:15 pm	Virginia Tech	Iowa	Cassell Coliseum • Blacksburg, VA	ESPNU	5,647	Virginia Tech (95-79)	ACC (1-0)
Tue., Nov. 27	7:15 pm	Florida State	#21 Minnesota	Donald L. Tucker Center • Tallahassee, FL	ESPN2	7,941	Minnesota (77-68)	Tied (1-1)
Tue., Nov. 27	7:30 pm	#18 NC State	#3 Michigan	Crisler Arena • Ann Arbor, MI	ESPN	12,693	Michigan (79-72)	Big Ten (2-1)
Tue., Nov. 27	9:15 pm	Wake Forest	Nebraska	LJVM Coliseum • Winston-Salem, NC	ESPNU	6,508	Nebraska (79-63)	Big Ten (3-1)
Tue., Nov. 27	9:15 pm	Maryland	Northwestern	Welsh-Ryan Arena • Evanston, IL	ESPN2	6,009	Maryland (77-57)	Big Ten (3-2)
Tue., Nov. 27	9:30 pm	#14 North Carolina	#1 Indiana	Assembly Hall • Bloomington, IN	ESPN	17,472	Indiana (83-59)	Big Ten (4-2)
Wed., Nov. 28	7:00 pm	Virginia	Wisconsin	Kohl Center • Madison, WI	ESPN2	16,690	Virginia (60-54)	Big Ten (4-3)
Wed., Nov. 28	7:15 pm	Clemson	Purdue	Littlejohn Coliseum • Clemson, SC	ESPNU	7,632	Purdue (73-61)	Big Ten (5-3)
Wed., Nov. 28	7:30 pm	Miami	#13 Michigan State	BankUnited Center • Coral Gables, FL	ESPN	5,791	Miami (67-59)	Big Ten (5-4)
Wed., Nov. 28	9:00 pm	Georgia Tech	#22 Illinois	Assembly Hall • Champaign, IL	ESPN2	12,224	Illinois (75-62)	Big Ten (6-4)
Wed., Nov. 28	9:15 pm	Boston College	Penn State	Bryce Jordan Center • University Park, PA	ESPNU	6,889	Boston College (73-61)	Big Ten (6-5)
Wed., Nov. 28	9:30 pm	#2 Duke	#4 Ohio State	Cameron Indoor Stadium • Durham, NC	ESPN	9,314	Duke (73-68)	Tied (6-6)
