Name	Company	Tracking Method	Latest stable release	Price in USD
Analyzer	AT Internet	Cookies via JavaScript	N/A	Negotiable
Bango Mobile Web Analytics	Bango plc	Mobile ID and cookies	4.0	From $49/month
ClickTale	ClickTale	Cookies via Javascript	N/A	Free / Negotiable
Google Analytics	Google	Cookies via JavaScript	N/A	Free (Standard), $150,000 Annual (Premium)
Heap	Heap	Cookies via Javascript	N/A	Negotiable
Insight	Omniture ( Adobe Systems )	Cookies via JavaScript	N/A	Negotiable
Mapmyuser.com	Mapmyuser, LLC	Cookies via JavaScript	N/A	Free
Quantcast	Quantcast Corporation	Cookies via JavaScript	N/A	Free
SiteCatalyst	Omniture ( Adobe Systems )	Cookies via JavaScript	15	Negotiable
StatCounter	StatCounter	Cookies via JavaScript	N/A	Free - $5/month ... $119/month
Webtrekk Q3	Webtrekk	Cookies via JavaScript	N/A	From $202/month
Webtrends	Webtrends	Cookies via JavaScript	N/A	N/A
Woopra	iFusion Labs LLC	Cookies via JavaScript	1.2	Free - $499.95+/month
Yahoo! Web Analytics	Yahoo!	Cookies via JavaScript	Not available anymore	Free
