Track	Recorded	Catalogue	Release Date	Song Title	Time
1.	2/18/70	47-9835	4/20/70	The Wonder of You	2:34
2.	6/4/70	47-9873	7/14/70	I've Lost You	3:30
3.	6/7/70	47-9873b	7/14/70	The Next Step Is Love	3:31
4.	6/6/70	47-9916	10/6/70	You Don't Have to Say You Love Me	2:30
5.	6/8/70	47-9916b	10/6/70	Patch It Up	3:08
6.	6/7/70	47-9960	12/8/70	I Really Don't Want to Know	2:54
7.	6/8/70	47-9960b	12/8/70	There Goes My Everything	2:58
8.	9/22/70	47-9980	2/3/71	Rags to Riches	1:54
9.	9/22/70	47-9980b	2/3/71	Where Did They Go, Lord	2:27
10.	6/6/70	47-9985	5/25/71	Life	3:10
11.	5/20/71	47-9998	6/22/71	I'm Leavin'	3:51
12.	6/6/70	47-9998b	6/22/71	Heart of Rome	2:53
13.	5/20/71	48-1017	9/21/71	It's Only Love	2:41
14.	6/4/70	48-1017b	9/21/71	The Sound of Your Cry	3:17
15.	8/11/70	2158	11/71	I Just Can't Help Believin'	4:34
16.	6/5/70	2158b	11/71	How the Web Was Woven	3:25
17.	5/17/71	74-0619	1/4/72	Until It's Time for You to Go	2:17
18.	5/20/71	74-0619b	1/4/72	We Can Make the Morning	3:54
19.	2/16/72	74-0672	4/4/72	An American Trilogy	4:30
20.	3/15/71	74-0672b	4/4/72	The First Time Ever I Saw Your Face	3:42
21.	3/28/72	74-0769	8/1/72	Burning Love	2:50
22.	3/29/72	74-0769b	8/1/72	It's a Matter of Time	3:02
23.	3/27/72	74-0815	10/31/72	Separate Ways	2:36
