Round	Pick	Overall	Name	Position	College
1	6	6	George Thomas	HB	Oklahoma
2	5	19	Hall Haynes	DB	Santa Clara [d ]
3	5	32	Lou Karras	DT	Purdue
4	5	45	Harry Ulinski	C	Kentucky
5	5	58	Frank Spaniel	HB	Notre Dame
6	5	71	Gene Pepper	G	Missouri
7	5	84	Jerry Houghton	OT	Washington State
8	5	97	John Rohde	E	Pacific [h ]
9	5	110	Don Winslow	OT	Iowa
10	5	123	Eddie LeBaron	QB	Pacific [h ]
11	5	136	Danny Brown	DE	Villanova
12	5	149	Bill Chauncey	RB	Iowa State
13	5	162	Clay Davis	C	Oklahoma State
14	5	175	Lyle Button	OT	Illinois
15	5	188	Alex Loyd	E	Oklahoma State
16	5	201	Charlie Justice	HB	North Carolina
17	5	214	Jim Cullom	G	California
18	5	227	Alvin Duke	RB	Arkansas
19	5	240	Ed White	E	Alabama
20	5	253	George Bayer	OT	Washington
21	5	266	Casimir Witucki	G	Indiana
22	5	279	John deLaurentis	OT	Waynesburg
23	5	292	Joe Zuravleff	E	Northwestern
24	5	305	Dick Tilton	OT	Nevada
25	5	318	Art Stewart	RB	Oklahoma
26	5	331	Earl Roth	RB	Maryland
27	5	344	Ed Lee	OT	Kansas
28	5	357	Ralph Shoaf	RB	West Virginia
29	5	370	Johnny Lundin	G	Minnesota
30	3	383	Bob Noppinger	E	Georgetown
