Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	Kansas City	0 – 3	Philadelphia	Stephenson	17,007	37–17–9
March 2	St. Louis	2 – 4	Philadelphia	Stephenson	17,007	38–17–9
March 5	Philadelphia	9 – 2	Minnesota	Stephenson	14,587	39–17–9
March 8	Philadelphia	2 – 8	Pittsburgh	Taylor	13,404	39–18–9
March 9	Detroit	5 – 8	Philadelphia	Stephenson	17,007	40–18–9
March 13	Pittsburgh	0 – 6	Philadelphia	Parent	17,007	41–18–9
March 15	Philadelphia	4 – 4	Toronto	Taylor	16,485	41–18–10
March 16	Los Angeles	0 – 3	Philadelphia	Parent	17,007	42–18–10
March 18	Philadelphia	7 – 2	Washington	Parent	18,130	43–18–10
March 22	Minnesota	0 – 4	Philadelphia	Parent	17,007	44–18–10
March 23	Montreal	1 – 2	Philadelphia	Parent	17,007	45–18–10
March 25	Philadelphia	5 – 3	Vancouver	Parent	15,570	46–18–10
March 26	Philadelphia	6 – 2	California	Parent	11,068	47–18–10
March 29	Philadelphia	5 – 2	Chicago	Parent	18,000	48–18–10
March 30	Chicago	1 – 4	Philadelphia	Parent	17,007	49–18–10
